Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Profit,Stake
2025-05-21,05:00,Chepstow,Ultramarine,24.0,0.9865108728408812,1,level,13.4,
2025-05-21,05:17,Ayr,Jewel Maker,24.0,0.9477927088737488,4,level,-1.0,
2025-05-21,05:25,Warwick,Getalead,3.25,0.8754055500030518,2,level,-1.0,
2025-05-21,05:35,Chepstow,Savannah Smiles,3.35,0.9909030795097352,3,level,-1.0,
2025-05-21,05:40,Kempton (AW),Cosi Bello,1.73,0.9760444164276124,1,level,0.73,
2025-05-21,05:45,Gowran Park,Luscious,7.4,0.934027373790741,3,level,-0.26,
2025-05-21,06:00,Brighton,Coolagh Magic,22.0,0.9934847950935364,4,level,-1.0,
2025-05-21,06:10,Kempton (AW),English Lady,21.0,0.968349814414978,8,level,-1.0,
2025-05-21,06:20,Gowran Park,Pierre Royal,5.7,0.9301835298538208,1,level,2.42,
2025-05-21,06:30,Brighton,Salve Electra,7.6,0.9775787591934204,1,level,3.56,
2025-05-21,06:50,Gowran Park,Daymer Bay,19.0,0.9784008264541626,12,level,-1.0,
2025-05-21,07:00,Brighton,Warm Glow,9.8,0.9922221302986144,3,level,-0.02,
2025-05-21,07:10,Kempton (AW),Museum Piece,4.5,0.918649971485138,4,level,-1.0,
2025-05-21,07:20,Gowran Park,Lemsairbat,2.5,0.9670261740684508,3,level,-1.0,
2025-05-21,07:30,Brighton,Poetic Force,4.9,0.9930042624473572,3,level,-1.0,
2025-05-21,07:50,Gowran Park,Party Dress,6.8,0.9757289290428162,9,level,-1.0,
2025-05-21,08:00,Brighton,Versatile,6.8,0.9860610961914062,5,level,-1.0,
2025-05-21,08:20,Gowran Park,Red Secret,10.5,0.9818663001060486,4,level,-1.0,
2025-05-21,08:30,Brighton,Under Curfew,9.8,0.9934957027435304,8,level,-1.0,
2025-05-21,08:40,Kempton (AW),Lawn Ranger,34.0,0.9811297059059144,9,level,-1.0,
2025-05-19,1:45,Redcar,Willowinghurn,17.5,0.8882408738136292,1,advised,7.12,0.75
2025-05-19,2:15,Redcar,Lope Y Linda,18.5,0.9255899786949158,5,advised,-1.0,1.0
2025-05-19,2:45,Redcar,Early Release,5.9,0.9663886427879332,6,advised,-1.0,1.0
2025-05-19,3:00,Carlisle,Water Of Leith,3.35,0.9837716221809388,2,advised,-1.0,1.0
2025-05-19,3:30,Carlisle,Kats Bob,12.0,0.9898911714553832,3,advised,0.2,1.0
2025-05-19,3:45,Redcar,Rajapour,9.8,0.9865506887435912,4,advised,-1.0,1.0
2025-05-19,4:00,Carlisle,Billy Bathgate,10.5,0.99521142244339,3,advised,0.05,1.0
