date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,4,1,,0,0,Autumn Twist (IRE),4,G,153,p,4:27.50,267.50,3.75,Daniel King,Denis Gerard Hogan,€5900,113,–,Golden Horn (GB),Autumn Lily (USA),Street Cry,Premier Racing Club,In touch with leaders - led 3 out - pushed along 2 out - 5 lengths ahead when mistake last - comfortably(op 5/2 tchd 7/2)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,8,2,,2.25,2.25,Lodge Man (IRE),4,G,150,,4:27.95,267.95,29.00,Philip Donovan,P M J Doyle,€1900,–,–,Renaissance Man (IRE),Glens Valley (IRE),Milan,Dromcastle Syndicate,Midfield - headway after 2 out - switched right approaching last - went second just after last - ran on(op 33/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,6,3,,6.75,4.5,Breezethroughlife (IRE),4,G,153,t,4:28.85,268.85,101.00,Jordan Gainford,Cian Collins,€900,–,–,Ice Breeze (GB),Lady Germany (IRE),Germany,Mrs Patricia Prendergast,Midfield - slow jump 1st - reminders with one circuit to go - mistake 7th - headway 3 out - switched left 2 out - carried right approaching last - went third run-in - ran on(op 80/1 tchd 66/1 and tchd 150/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,9,4,,9.25,2.5,Synchronize (IRE),4,G,146,,4:29.35,269.35,201.00,Tom Harney,J Morrison,€400,–,–,Frankel (GB),Qaws GB,Dubawi,J Morrison,Disputed lead - lost position but prominent after 1st - slightly hampered and outpaced 2 out - ran on run-in - went fourth towards finish(op 80/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,12,5,,10.5,1.25,Young Churchill (IRE),4,G,153,t,4:29.60,269.60,2.50,Donagh Meyler,Noel Meade,€200,–,–,Churchill (IRE),Excelling Spirit (IRE),Invincible Spirit,London Racing 4 Partnership,Sweating - disputed lead - led clearly after 1st - jumped right 7th - headed 3 out - 5 lengths second when bad mistake last - soon lost position and weakened(op 7/4 tchd 11/8 and tchd 15/8)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,7,6,,10.75,0.3,Elusive Ogie (IRE),4,G,153,,4:29.65,269.65,41.00,Darragh OKeeffe,Eoin Christopher McCarthy,€100,–,–,Elusive Pimpernel (USA),Newtown Dancer (IRE),Danehill Dancer,Denis Enright,Prominent - weakened after 2 out(op 50/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,11,7,,11.75,1,Woodview Lad (IRE),4,G,153,,4:29.85,269.85,7.50,Sam Ewing,Gordon Elliott,,–,–,Mahler (GB),Woodview Dawn (IRE),Turtle Island,Thomas G Kelly,Prominent - mistake 5th - challenging 3 out - weakening when not fluent last(op 8/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,13,8,,19.75,8,Gerrys Wish (IRE),4,F,146,,4:31.45,271.45,13.00,Danny Gilligan,Gordon Elliott,,–,–,El Salvador (IRE),Another Katie (IRE),Carlotamix,Gers Apostles Syndicate,Towards rear - headway into midfield 8th - not fluent 3 out - soon weakened(op 16/1 and tchd 18/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,5,9,,20.25,.5,Brandyandportpaddy (IRE),4,G,148,,4:31.55,271.55,151.00,Jack G Gilligan,Paul John Gilligan,,–,–,Mizzou (IRE),Fanore Lady (IRE),Oscar,Where Dreams Are Made Syndicate,In rear - nudged along and some headway before last - never dangerous(op 66/1 tchd 50/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Hurdle,,,,4yo,,2m1f,17f,3420,Good,14,3,10,,21.5,1.25,Tatateo (IRE),4,G,161,,4:31.80,271.80,29.00,Phillip Enright,Denis Gerard Hogan,,–,–,Teofilo (IRE),Tayara GB,Lawman,Final Reminder Syndicate,Took keen hold - midfield - weakened from 3 out(op 33/1 tchd 25/1)
