race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
3:05 Leicester,Singing In Paris,3.0,-1,,130,3,10.0,Class 4,Good To Firm,5234.0,Ian Williams,Dougie Costello,58,-1,-1.0,-1.0,0,0.5,0.8445477485656738,,0.9972213506698608,"['🔥 Trainer 58%', '⚖️ Light Weight']",✍️ yard in form.,17.5,3:05,leicester,singing in paris,0.8445477485656738,17.5,0.0,2025-05-26,1.0,2025-05-26,GB,British EBF Novice Stakes (GBB/GBBPlus Race),Flat,Class 4,,,3yo,,1m2f,10f,2012.0,Good To Firm,6,5,4,3.0,8,1,3,G,130,,2:10.94,130.94,29.0,Dougie Costello,Ian Williams,614,–,–,Wootton Bassett (GB),Millennium Star (IRE),High Chaparral,Joseph Smith,Reared start and slowly away - pulled hard - in rear - some headway 2f out - kept on inside final furlong - never on terms(op 18/1),0.0,advised
3:30 Cartmel,Musique De Fee,0.0,-1,141.0,152,6,25.5,Class 2,Good,15609.0,Georgina Nicholls,Joshua Bryan,75,-1,58.0,2.0,0,0.0,0.9744883179664612,,0.9972213506698608,"['🔥 Trainer 75%', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",3.7,3:30,cartmel,musique de fee,0.9744883179664612,3.7,0.0,2025-05-26,1.0,2025-05-26,GB,Molson Coors Handicap Hurdle (GBB Race),Hurdle,Class 2,,,4yo+,,3m1½f,25.5f,5105.0,Good To Soft,12,10,1,,0,0,6,M,152,p,6:16.39,376.39,4.0,Joshua Bryan,Georgina Nicholls,15609,119,121,Jukebox Jury (IRE),Fairy Tale (FR),Spanish Moon,Ms M L Peterson,In touch with leaders - awkward jump 2nd - slow jump 5th - went second after 4 out - ridden before 2 out - lost two places last - switched right and rallied run-in - led post(op 4/1),2.7,advised
3:55 Windsor,Socialite,2.0,-1,111.0,135,4,8.0,Class 2,Good,15702.0,Charles Hills,Jason Watson,53,-1,44.0,297.0,0,0.3333333333333333,0.9168156385421753,,0.9972213506698608,"['🔥 Trainer 53%', '🚫 Layoff', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, strong recent form, good draw position.",6.4,3:55,windsor,socialite,0.9168156385421753,6.4,0.0,2025-05-26,1.0,2025-05-26,GB,Blackmore Building Contractors Ltd Handicap,Flat,Class 2,,0-105,4yo+,,1m,8f,1638.0,Good To Firm,5,1,1,2.0,0,0,4,G,135,,1:41.63,101.63,4.5,Jason Watson,Charles Hills,15702,104,–,Too Darn Hot (GB),Liberating GB,Iffraaj,Aura Racing J Kimber J Savory,Made all - ran on well from over 1f out(op 10/3 tchd 4/1),2.7,advised
4:35 Redcar,Romieu,11.0,-1,100.0,136,4,10.0,Class 2,Good To Firm,21600.0,Adrian Paul Keatley,Sam James,43,-1,46.0,11.0,0,1.0,0.9274948239326477,,0.9972213506698608,"['🔥 Trainer 43%', '⚡ Fresh', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, strong recent form.",9.2,4:35,redcar,romieu,0.9274948239326477,9.2,0.0,2025-05-26,1.0,2025-05-26,GB,Racing TV Zetland Gold Cup Handicap (GBBPlus Race),Flat,Class 2,,0-100,3yo+,,1m2f,10f,2013.0,Good To Firm,10,7,10,11.0,26.75,15,4,G,136,t,2:7.55,127.55,15.0,Sam James,Adrian Paul Keatley,,90,–,Lope De Vega (IRE),Beautiful Romance GB,New Approach,Nick Bradley Racing 14 Keatley Racing,Raced wide - midfield - dropped to rear over 3f out - weakened over 2f out (trainer said - regarding the poor form shown - race came too soon having run 11 days previously; vet nothing to report)(op 10/1 tchd 16/1),0.0,advised
6:30 Ballinrobe,Drumgill,,-1,144.0,156,6,23.5,Class 1,Good,59000.0,John Patrick Ryan,Daniel King,54,-1,18.0,24.0,0,0.0,0.9972213506698608,,0.9972213506698608,"['🔥 Trainer 54%', '🧠 Monster NAP', '❗ Confidence 90%+']",✍️ yard in form.,13.0,6:30,ballinrobe,drumgill,0.9972213506698608,13.0,0.0,2025-05-26,1.0,2025-05-26,IRE,McHale Mayo National Handicap Chase (),Chase,,Listed,,4yo+,,2m7½f,23.5f,4693.0,Good,15,14,2,,4,4,6,G,156,,5:39.60,339.60,13.0,Daniel King,John Patrick Ryan,€19000,128,–,Elusive Pimpernel (USA),Medinah Theatre (IRE),Kings Theatre,John Patrick Ryan,In touch with leaders - dropped to midfield after 4th - in touch with leaders after 10th - went second after 4 out - no extra after 2 out - no match for winner(op 14/1),0.8,advised
