Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Stake,Profit
2025-05-19,1:45,Redcar,Willowinghurn,17.5,0.8882408738136292,1,advised,0.75,7.12
2025-05-19,2:15,Redcar,Lope Y Linda,18.5,0.9255899786949158,5,advised,1.0,-1.0
2025-05-19,2:45,Redcar,Early Release,5.9,0.9663886427879333,6,advised,1.0,-1.0
2025-05-19,3:00,Carlisle,Water Of Leith,3.35,0.9837716221809387,2,advised,1.0,-1.0
2025-05-19,3:30,Carlisle,Kats Bob,12.0,0.9898911714553833,3,advised,1.0,0.2
2025-05-19,3:45,Redcar,Rajapour,9.8,0.9865506887435913,4,advised,1.0,-1.0
2025-05-19,4:00,Carlisle,Billy Bathgate,10.5,0.9952114224433899,3,advised,1.0,0.05
2025-05-19,4:15,Redcar,Muscika,16.5,0.9661411046981812,1,advised,1.0,8.9
2025-05-19,4:30,Carlisle,Twisting Physics,4.0,0.9873335361480713,2,advised,1.0,-1.0
2025-05-19,4:45,Redcar,Novello Lad,2.82,0.9724331498146057,3,advised,1.0,-1.0
2025-05-19,5:00,Carlisle,Heavenly Heather,12.0,0.989328920841217,4,advised,1.0,-1.0
2025-05-19,5:10,Roscommon,Letters Of Love,10.5,0.957267165184021,3,advised,1.0,0.05
2025-05-19,5:15,Redcar,I Can Boogy,20.0,0.9642261266708374,1,advised,1.0,11.0
2025-05-19,5:20,Windsor,Faustus,27.0,0.9795709848403931,4,advised,1.0,-1.0
2025-05-19,5:30,Carlisle,Harry Palmer,9.0,0.993124783039093,5,advised,1.0,-1.0
2025-05-19,5:40,Roscommon,Divelment,3.55,0.9560968279838562,3,advised,1.0,-1.0
2025-05-19,5:50,Windsor,Canyouhearthedrums,9.8,0.9251458048820496,9,advised,1.0,-1.0
2025-05-19,6:10,Roscommon,Carrickfinn,65.0,0.9407947659492493,9,advised,1.0,-1.0
2025-05-19,6:20,Windsor,Blue Bolt,5.0,0.9721859693527222,1,advised,1.0,2.0
2025-05-19,6:40,Roscommon,Mocking,3.15,0.8886240124702454,2,advised,0.75,-0.75
2025-05-19,7:10,Roscommon,Chavajod,7.8,0.9696425795555115,7,advised,1.0,-1.0
2025-05-19,7:20,Windsor,Fast Steps,22.0,0.9765125513076782,3,advised,1.0,1.2
2025-05-19,7:30,Wolverhampton (AW),Invincible Ruby,16.0,0.9432246685028076,7,advised,1.0,-1.0
2025-05-19,7:40,Roscommon,Ozark Daze,9.8,0.9605146050453186,4,advised,1.0,-1.0
2025-05-19,7:50,Windsor,Epimeteo,17.0,0.9838694930076599,7,advised,1.0,-1.0
2025-05-19,8:00,Wolverhampton (AW),Medinilla,4.3,0.9790960550308228,1,advised,1.0,3.3
2025-05-19,8:10,Roscommon,Enziya,2.96,0.9687605500221252,3,advised,1.0,-1.0
2025-05-19,8:30,Wolverhampton (AW),Rock N Roll Rocket,8.2,0.9831985831260681,1,advised,1.0,3.92
