race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:42 Gowran Park,Viking Invasion,5.0,-1,94.0,134,3,9.5,,Good,108000.0,Joseph Patrick Obrien,Declan Mcdonogh,57,-1,19.0,35.0,0,0.45454545454545453,0.9825763702392578,,0.9943599104881287,"['🔥 Trainer 57%', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ yard in form.,9.8,2:42,gowran park,viking invasion,0.9825763702392578,9.8,0.0,2025-06-02,1.0,2025-06-02,IRE,Irish Stallion Farms EBF Gowran Classic,Flat,,,,3yo,,1m1½f,9.5f,1920.0,Good,11,1,3,5.0,3.25,3,3,G,134,p,2:0.38,120.38,15.0,Declan McDonogh,Joseph Patrick OBrien,€18000,87,–,Mehmas (IRE),Empress Ella (IRE),Holy Roman Emperor,Mark Dobbin Edelle Logan,Towards rear - headway from 2f out - went third towards finish(op 10/1),0.0,advised
3:25 Market Rasen,Prince Imperial,0.0,-1,128.0,168,8,20.5,Class 2,Good,13203.0,Olly Murphy,Beau Morgan(5),46,-1,61.0,23.0,0,0.0,0.858331024646759,,0.9943599104881287,"['🔥 Trainer 46%', '📈 In Form']","✍️ yard in form, strong recent form.",7.4,3:25,market rasen,prince imperial,0.858331024646759,7.4,0.0,2025-06-02,1.0,2025-06-02,GB,Oddschecker Handicap Hurdle (GBB Race),Hurdle,Class 2,,,4yo+,,2m4½f,20.5f,4150.0,Good,6,1,4,,4.5,2.25,8,G,163,tp,5:16.10,316.10,5.5,Beau Morgan,Olly Murphy,1520,129,–,Frankel (GB),Proportional GB,Beat Hollow,The Box 8 Partnership,Led - headed 2 out - lost ground when not fluent last - weakening when saddle slipped run-in(op 11/2),0.0,advised
3:40 Listowel,Stuntman Steve,,-1,140.0,151,6,16.0,,Good,14750.0,Gavin Cromwell,Sean Flanagan,62,-1,4.0,22.0,0,0.0,0.955010175704956,,0.9943599104881287,"['🔥 Trainer 62%', '❗ Confidence 90%+']",✍️ yard in form.,3.65,3:40,listowel,stuntman steve,0.955010175704956,3.65,0.0,2025-06-02,1.0,2025-06-02,IRE,Join Racing TV With A Free Trial Now Handicap Hurdle,Hurdle,,,,4yo+,,2m,16f,3219.0,Good,8,5,1,,0,0,6,G,151,,3:52.20,232.20,4.5,Sean Flanagan,Gavin Cromwell,€14750,116,–,Getaway (GER),Mrs Bob (IRE),Milan,Mmw Racing Syndicatedeclan Mac Mahon,Didn't always jump with fluency - midfield - ridden and headway after 3 out - led approaching last - kept on(op 10/3),2.65,advised
4:15 Listowel,Blood Destiny,,-1,172.0,156,6,19.0,,Good,10030.0,W P Mullins,Paul Townend,65,-1,1.0,21.0,0,0.0,0.9713691473007202,,0.9943599104881287,"['🔥 Trainer 65%', '❗ Confidence 90%+']",✍️ yard in form.,3.35,4:15,listowel,blood destiny,0.9713691473007202,3.35,0.0,2025-06-02,1.0,2025-06-02,IRE,John J. Galvin Chase,Chase,,,,5yo+,,2m3f,19f,3822.0,Good,5,1,1,,0,0,6,G,156,,4:44.30,284.30,1.12,Paul Townend,W P Mullins,€10030,152,–,No Risk At All (FR),High Blood (FR),High Yield,Roaringwater Syndicate,Made all - clear from 8th - went further clear from 5 out - mistake last - canter(op 1/12),2.35,advised
