race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:15 Carlisle,Dandy Style,4.0,-1,,130,2,5.0,Class 2,Good To Soft,9450.0,Bryan Smart,Paul Mulrennan,80,-1,-1.0,-1.0,0,0.4,0.9600656032562256,,0.9697867631912231,"['🔥 Trainer 80%', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ yard in form.,7.0,2:15,carlisle,dandy style,0.9600656032562256,7.0,0.0,2025-05-30,1.0,2025-05-30,GB,Ruben & Eviee Harker EBF Restricted Novice Stakes (EBF Restricted Race Qual) (GBB/IRE Incentive),Flat,Class 2,,,2yo,,5f,5f,1006,Good To Soft,9,3,4,4.0,2.5,2.25,2,C,130,,1:2.77,62.77,19.0,Paul Mulrennan,Bryan Smart,1109.50,–,–,Dandy Man (IRE),Model Looks (IRE),Majestic Missile,Mrs Victoria Machen Partner,Dwelt start - in rear - headway and hung left over 1f out - kept on final 110yds - not reach leaders(op 11/1),0.0,advised
7:00 Stratford,Kings Jet,0.0,-1,126.0,168,5,27.5,Class 2,Good,9778.0,C W J Farrell,Mr T A Halford,,-1,27.0,25.0,0,0.0,0.8258078098297119,,0.9697867631912231,['📈 In Form'],✍️ strong recent form.,2.68,7:00,stratford,kings jet,0.8258078098297119,2.68,0.0,2025-05-30,1.0,2025-05-30,GB,pointtopoint.co.uk Champion Novices Hunters Chase (For The John Corbet Cup),Chase,Class 2,,,5yo+,,3m3½f,27.5f,5540,Good,10,8,PU,,-,-,5,G,168,,-,-,4.33,Mr T A Halford,C W J Farrell,,–,–,Jet Away (GB),Court Gamble (IRE),Kings Theatre,Douglas Taylor,In touch with leaders - hit 4 out - left in fourth 3 out - soon weakened - pulled up after 2 out(op 5/2),-1.0,advised
7:08 Down Royal,Poetic Sound,7.0,-1,114.0,131,4,16.0,Class 1,Good,26550.0,G M Lyons,Colin Keane,70,-1,41.0,34.0,0,0.7,0.9697867631912231,,0.9697867631912231,"['🔥 Trainer 70%', '⚖️ Light Weight', '📈 In Form', '🧠 Monster NAP', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",3.45,7:08,down royal,poetic sound,0.9697867631912231,3.45,0.0,2025-05-30,1.0,2025-05-30,IRE,His Majestys Plate (),Flat,,Listed,,4yo+,,2m,16f,3219,Good,8,7,7,7.0,16.25,4.5,4,G,131,,3:31.20,211.20,5.5,Colin Keane,G M Lyons,,101,–,Poets Word (IRE),Ceoil An Aith (IRE),Accordion,John Keaney,Towards rear - weakened quickly from 2f out(op 7/2 tchd 10/3 and tchd 5/1),-1.0,advised
