Date,Race Time,Course,Horse,Odds,odds_delta,Confidence,Position,Mode,Stake,Profit
2025-06-03,2:47,leicester,amberia,6.4,0.0,0.21313244104385376,1,advised,1.0,2.84
2025-06-03,3:17,leicester,creciente,34.0,0.0,0.24227334558963776,4,advised,1.0,0.0
