Tag,Tips,Profit,Wins,ROI %
⚖️ Light Weight,1,0.0,0,0.0
❗ Confidence 90%+,3,5.0,2,166.66666666666669
📈 In Form,1,0.0,0,0.0
🔥 Trainer 46%,1,0.0,0,0.0
🔥 Trainer 57%,1,0.0,0,0.0
🔥 Trainer 62%,1,2.65,1,265.0
🔥 Trainer 65%,1,2.35,1,235.0
