race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
1:20 Curragh,Dancing Saxon,10,-1,,128,2,6.0,,Good,11800.0,Joseph Patrick Obrien,Dylan Browne Mcmonagle,49,-1,-1.0,-1.0,0,0.7142857142857143,0.9660741090774536,,0.9985139966011047,"['🔥 Trainer 49%', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ yard in form.,70.0,1:20,curragh,dancing saxon,0.9660741090774536,70.0,0.0,2025-05-25,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
2:30 Curragh,Porta Fortuna,8,-1,125.0,131,4,8.0,Class 1,Good,70800.0,Donnacha Aidan Obrien,Ryan Moore,67,-1,54.0,204.0,0,1.0,0.9957653284072876,,0.9985139966011047,"['🔥 Trainer 67%', '🚫 Layoff', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, strong recent form.",2.24,2:30,curragh,porta fortuna,0.9957653284072876,2.24,0.0,2025-05-25,1.0,2025-05-25,IRE,Lanwades Stud Stakes  (Fillies & Mares),Flat,,Group 2,,4yo+,F & M,1m,8f,1609.0,Good,8.0,1.0,1,8.0,0,0,4.0,F,131.0,,1:35.11,95.11,2.25,Ryan Moore,Donnacha Aidan OBrien,€70800,117,–,Caravaggio (USA),Too Precious (IRE),Holy Roman Emperor,Medallion Racing 2020 Llcs I Westonreeves Tbredb Fowler,In touch with leaders on outer - good headway from over 3f out - led 1f out - soon ridden - kept on(op 8/11),1.24,advised
3:05 Curragh,Anmaat,6,-1,133.0,131,7,10.5,Class 1,Good,295000.0,Owen Burrows,Jim Crowley,33,-1,75.0,218.0,0,0.6666666666666666,0.9933986663818359,,0.9985139966011047,"['🔥 Trainer 33%', '🚫 Layoff', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, strong recent form.",7.0,3:05,curragh,anmaat,0.9933986663818359,7.0,0.0,2025-05-25,1.0,2025-05-25,IRE,Tattersalls Gold Cup,Flat,,Group 1,,4yo+,,1m2½f,10.5f,2112.0,Good,9.0,1.0,2,6.0,.5,.5,7.0,G,131.0,,2:8.51,128.51,9.0,Jim Crowley,Owen Burrows,€95000,123,–,Awtaad (IRE),African Moonlight (UAE),Halling,Shadwell Estate Company Ltd,Held up in rear - smooth headway from 2f out - ridden and briefly led inside final furlong - no extra towards finish(op 10/1),0.0,advised
3:40 Curragh,Swelter,9,-1,124.0,128,3,8.0,Class 1,Good,285000.0,D K Weld,Chris Hayes,88,-1,100.0,56.0,0,0.75,0.9941577911376953,,0.9985139966011047,"['🔥 Trainer 88%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",3.45,3:40,curragh,swelter,0.9941577911376953,3.45,0.0,2025-05-25,1.0,2025-05-25,IRE,Tattersalls Irish 1 000 Guineas  (Fillies),Flat,,Group 1,,3yo,F,1m,8f,1609.0,Good,12.0,11.0,9,9.0,8.5,.75,3.0,F,128.0,,1:38.08,98.08,6.5,Chris Hayes,D K Weld,,105,–,Kingman (GB),Hot Snap GB,Pivotal,Juddmonte,Edgy - took keen hold - prominent - weakened over 1f out(op 4/1 tchd 7/2),-1.0,advised
3:48 Uttoxeter,Vintage Fizz,0,-1,149.0,153,8,20.0,Class 2,Good,20812.0,Jedd Okeeffe,Conor Ofarrell,25,-1,-2.0,22.0,0,0.0,0.9527803659439087,,0.9985139966011047,"['🔥 Trainer 25%', '❗ Confidence 90%+']",✍️ yard in form.,6.2,3:48,uttoxeter,vintage fizz,0.9527803659439087,6.2,0.0,2025-05-25,1.0,2025-05-25,GB,Clarke Chase (A Handicap Chase) (For The Sir Stanley And Lady Clarke Challenge Trophy) (GBB Race),Chase,Class 2,,,5yo+,,2m4f,20f,4023.0,Good,8.0,8.0,4,,6.75,0.2,8.0,G,153.0,,4:59.31,299.31,8.0,Conor OFarrell,Jedd OKeeffe,2392,128,–,Sulamani (IRE),Milan Athlete (IRE),Milan,Fine Claret Racing T S Ingham,Midfield - headway 3 out - soon went second - lost position last - no extra run-in - lost third post(op 5/1 tchd 9/2 and tchd 15/2),0.0,advised
4:15 Curragh,Fiona Maccoul,5,-1,95.0,119,3,8.0,,Good,29500.0,Mrs John Harrington,Nathan Crosse,50,-1,25.0,20.0,0,0.5555555555555556,0.9890055060386658,,0.9985139966011047,"['🔥 Trainer 50%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",44.0,4:15,curragh,fiona maccoul,0.9890055060386658,44.0,0.0,2025-05-25,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
5:25 Curragh,Nancee Spain,2,-1,,129,3,10.0,,Good,11800.0,Daniel Mcloughlin,Nathan Crosse,,-1,-1.0,-1.0,4,0.16666666666666666,0.9348148703575134,,0.9985139966011047,"['⚖️ Light Weight', '❗ Confidence 90%+']",✍️ good draw position.,11.5,5:25,curragh,nancee spain,0.9348148703575134,11.5,0.0,2025-05-25,1.0,2025-05-25,IRE,Glenroyal Hotel And Shoda Cafe Irish EBF Fillies Maiden,Flat,,,,3yo,F,1m2f,10f,2012.0,Good,10.0,10.0,10,2.0,42.25,7,3.0,F,129.0,h,2:14.85,134.85,101.0,Nathan Crosse,Daniel McLoughlin,,–,–,Calyx (GB),Ihtiraam (IRE),Teofilo,Mrs Carol Henley,Slowly away - always behind - reminder over 6f out(op 50/1 tchd 125/1),0.0,advised
