Date,Meeting,Time,EW/Win,Jockey,Horse,Odds,SP,Value,Result,Stake,Profit,Running Profit,Best Odds,Running Profit Best Odds
2025-05-20,Southwell,3:50,EW,Mr Aiden Blakemore(7),Wotalaad,18.0,18.0,100.0,7,1.0,-0.5,-1.5,18.0,-1.5
2025-05-20,Nottingham,4:02,EW,Jim Crowley,Ciara Pearl,5.3,5.3,100.0,1,1.0,2.18,0.68,5.3,0.68
2025-05-20,Lingfield,4:10,Win,Paddy Bradley,Flickas Girl,0.0,0.0,-,8,1.0,-1.0,-0.32,0.0,-0.32
2025-05-20,Southwell,4:20,EW,Tom Broughton(5),Klervia,310.0,310.0,100.0,2,1.0,30.5,30.18,310.0,30.18
2025-05-20,Nottingham,4:32,Win,Adam Farragher,Serenity Blue,3.35,3.35,100.0,1,1.0,2.35,32.53,3.35,32.53
2025-05-20,Lingfield,4:40,Win,Frederick Larson,Honour Your Dreams,2.02,2.02,100.0,1,1.0,1.02,33.55,2.02,33.55
2025-05-20,Nottingham,5:05,Win,Jack Dace(7),Man Of La Mancha,2.0,2.0,100.0,3,1.0,-1.0,32.55,2.0,32.55
2025-05-20,Cork,5:15,EW,Shane Foley,Baker Blue,5.8,5.8,100.0,NR,1.0,0.0,32.55,5.8,32.55
2025-05-20,Southwell,5:25,Win,Adam Wedge,Grandads Cap,2.48,2.48,100.0,4,1.0,-1.0,31.55,2.48,31.55
2025-05-20,Cork,5:50,EW,Shane Foley,Beauty Queen,10.0,10.0,100.0,NR,1.0,0.0,31.55,10.0,31.55
2025-05-20,Hexham,5:58,EW,Joe Williamson,Dakota Beat,30.0,30.0,100.0,4,1.0,-0.5,31.05,30.0,31.05
2025-05-20,Huntingdon,6:10,EW,Jack Quinlan,Alvesta,7.8,7.8,100.0,4,1.0,-0.5,30.55,7.8,30.55
2025-05-20,Cork,6:20,Win,J M Sheridan,Nezeeh,0.0,0.0,-,NR,1.0,0.0,30.55,0.0,30.55
2025-05-20,Hexham,6:28,EW,Harry Reed,She Wont Mind,13.0,13.0,100.0,UR,1.0,-0.5,30.05,13.0,30.05
2025-05-20,Huntingdon,6:40,EW,James Turner(5),Velvet Vulcan,8.8,8.8,100.0,4,1.0,-0.5,29.55,8.8,29.55
2025-05-20,Cork,6:50,EW,Ben Coen,Twotolose,6.6,6.6,100.0,NR,1.0,0.0,29.55,6.6,29.55
2025-05-20,Hexham,6:58,EW,Theo Gillard,Deep Strato,7.2,7.2,100.0,7,1.0,-0.5,29.05,7.2,29.05
2025-05-20,Huntingdon,7:10,EW,Jack Quinlan,Jassur Des Brosses,100.0,100.0,100.0,6,1.0,-0.5,28.55,100.0,28.55
2025-05-20,Cork,7:20,EW,Jack Kearney,Hightimeyouwon,8.2,8.2,100.0,NR,1.0,0.0,28.55,8.2,28.55
2025-05-20,Huntingdon,7:40,EW,Freddie Gordon(3),Press Your Luck,9.6,9.6,100.0,4,1.0,-0.5,28.05,9.6,28.05
2025-05-20,Cork,7:50,EW,W J Lee,Royal Entry,9.2,9.2,100.0,NR,1.0,0.0,28.05,9.2,28.05
2025-05-20,Hexham,7:58,EW,Joe Williamson(3),Moveonbuy,8.0,8.0,100.0,4,1.0,-0.5,27.55,8.0,27.55
2025-05-20,Huntingdon,8:10,Win,Gavin Sheehan,Doc Mccoy,3.7,3.7,100.0,2,1.0,-1.0,26.55,3.7,26.55
2025-05-20,Cork,8:20,EW,Wayne Hassett(5),Slaney Swagger,110.0,110.0,100.0,NR,1.0,0.0,26.55,110.0,26.55
2025-05-20,Hexham,8:28,Win,Lewis Dobb(7),Benson,4.7,4.7,100.0,4,1.0,-1.0,25.55,4.7,25.55
2025-05-20,Huntingdon,8:40,EW,Mr Toby Mccain-Mitchell(3),Dr Lockdown,6.8,6.8,100.0,3,1.0,0.18,25.73,6.8,25.73
2025-05-20,Hexham,8:58,EW,Danny Mcmenamin,Gemini Man,13.0,13.0,100.0,NR,1.0,0.0,25.73,13.0,25.73
2025-05-21,Ayr,2:00,Win,Joanna Mason,Le Beau Garcon,3.5,3.5,100.0,1,1.0,2.5,2.5,3.5,2.5
2025-05-21,Chepstow,2:22,Win,Oisin Murphy,Triple Gee,4.1,4.1,100.0,2,1.0,-1.0,1.5,4.1,1.5
2025-05-21,Ayr,2:30,EW,Connor Beasley,Kanishka,5.4,5.4,100.0,2,1.0,0.04,1.54,5.4,1.54
2025-05-21,Warwick,2:40,EW,Kevin Brogan,Beau Gold,20.0,20.0,100.0,4,1.0,-0.5,1.04,20.0,1.04
2025-05-21,Chepstow,2:52,EW,Ray Dawson,No Gain,11.0,11.0,100.0,4,1.0,-0.5,0.54,11.0,0.54
2025-05-21,Ayr,3:00,Win,Lauren Young(7),Woohoo,2.68,2.68,100.0,1,1.0,1.68,2.22,2.68,2.22
2025-05-21,Chepstow,3:22,Win,Sean Levey,Italica,1.7,1.7,100.0,1,1.0,0.7,2.92,1.7,2.92
2025-05-21,Ayr,3:30,Win,James Doyle,Commanding Prince,3.3,3.3,100.0,2,1.0,-1.0,1.92,3.3,1.92
2025-05-21,Warwick,3:40,EW,Mr Toby Mccain-Mitchell(7),Slievegar,6.2,6.2,100.0,2,1.0,0.12,2.04,6.2,2.04
2025-05-21,Chepstow,3:55,EW,Gina Mangan,Glamorous Breeze,6.6,6.6,100.0,1,1.0,2.96,5.0,6.6,5.0
2025-05-21,Ayr,4:05,Win,David Allan,Hosanna Power,4.5,4.5,100.0,9,1.0,-1.0,4.0,4.5,4.0
2025-05-21,Warwick,4:15,EW,Mr Alex Chadwick(5),Enthused,13.0,13.0,100.0,3,1.0,0.8,4.8,13.0,4.8
2025-05-21,Chepstow,4:25,Win,Rossa Ryan,Bust A Moon,4.5,4.5,100.0,2,1.0,-1.0,3.8,4.5,3.8
2025-05-21,Ayr,4:42,Win,Daniel Tudhope,Little Empire,2.42,2.42,100.0,1,1.0,1.42,5.22,2.42,5.22
2025-05-21,Warwick,4:50,EW,Harry Skelton,Gwennie May Star,5.1,5.1,100.0,3,1.0,0.01,5.23,5.1,5.23
2025-05-21,Chepstow,5:00,EW,Jordan Williams(5),Ultramarine,24.0,24.0,100.0,1,1.0,13.4,18.63,24.0,18.63
2025-05-21,Gowran Park,5:10,EW,J M Sheridan,Nezeeh,8.4,8.4,100.0,NR,1.0,0.0,18.63,8.4,18.63
2025-05-21,Ayr,5:17,EW,Jake Dickson(7),Jewel Maker,24.0,24.0,100.0,4,1.0,-0.5,18.13,24.0,18.13
2025-05-21,Warwick,5:25,Win,Lewis Saunders(7),Getalead,3.25,3.25,100.0,2,1.0,-1.0,17.13,3.25,17.13
2025-05-21,Chepstow,5:35,Win,Rossa Ryan,Savannah Smiles,3.35,3.35,100.0,3,1.0,-1.0,16.13,3.35,16.13
2025-05-21,Kempton (AW),5:40,Win,Kieran Shoemark,Cosi Bello,1.73,1.73,100.0,1,1.0,0.73,16.86,1.73,16.86
2025-05-21,Gowran Park,5:45,EW,Colin Keane,Luscious,7.4,7.4,100.0,NR,1.0,0.0,16.86,7.4,16.86
2025-05-21,Brighton,6:00,EW,William Carson,Coolagh Magic,22.0,22.0,100.0,4,1.0,-0.5,16.36,22.0,16.36
2025-05-21,Kempton (AW),6:10,EW,Robert Havlin,English Lady,21.0,21.0,100.0,8,1.0,-0.5,15.86,21.0,15.86
2025-05-21,Gowran Park,6:20,EW,Chris Hayes,Pierre Royal,5.7,5.7,100.0,NR,1.0,0.0,15.86,5.7,15.86
2025-05-21,Brighton,6:30,EW,Adam Farragher,Salve Electra,7.6,7.6,100.0,1,1.0,3.56,19.42,7.6,19.42
2025-05-21,Gowran Park,6:50,EW,Ben Coen,Daymer Bay,19.0,19.0,100.0,NR,1.0,0.0,19.42,19.0,19.42
2025-05-21,Brighton,7:00,EW,Jack Doughty(3),Warm Glow,9.8,9.8,100.0,3,1.0,0.48,19.9,9.8,19.9
2025-05-21,Kempton (AW),7:10,Win,Hector Crouch,Museum Piece,4.5,4.5,100.0,4,1.0,-1.0,18.9,4.5,18.9
2025-05-21,Gowran Park,7:20,Win,Scott Mccullagh,Lemsairbat,2.5,2.5,100.0,NR,1.0,0.0,18.9,2.5,18.9
2025-05-21,Brighton,7:30,Win,Jack Doughty(3),Poetic Force,4.9,4.9,100.0,3,1.0,-1.0,17.9,4.9,17.9
2025-05-21,Gowran Park,7:50,EW,W J Lee,Party Dress,6.8,6.8,100.0,NR,1.0,0.0,17.9,6.8,17.9
2025-05-21,Brighton,8:00,EW,Kaiya Fraser(3),Versatile,6.8,6.8,100.0,5,1.0,-0.5,17.4,6.8,17.4
2025-05-21,Gowran Park,8:20,EW,Wesley Joyce(3),Red Secret,10.5,10.5,100.0,NR,1.0,0.0,17.4,10.5,17.4
2025-05-21,Brighton,8:30,EW,Alexandra Mcdonnell(7),Under Curfew,9.8,9.8,100.0,8,1.0,-0.5,16.9,9.8,16.9
2025-05-21,Kempton (AW),8:40,EW,Robert Havlin,Lawn Ranger,34.0,34.0,100.0,9,1.0,-0.5,16.4,34.0,16.4
2025-05-22,Ffos Las,2:05,Win,James Bowen,King Roly,3.95,3.95,100.0,1,1.0,2.95,2.95,3.95,2.95
2025-05-22,Haydock,2:17,EW,David Nolan,Fleur De Mer,5.1,5.1,100.0,5,1.0,-0.5,2.45,5.1,2.45
2025-05-22,Ffos Las,2:35,EW,Elizabeth Gale(3),The Wire Flyer,1000.0,1000.0,100.0,4,1.0,-0.5,1.95,1000.0,1.95
2025-05-22,Haydock,2:47,Win,David Probert,Maximized,2.68,2.68,100.0,1,1.0,1.68,3.63,2.68,3.63
2025-05-22,Yarmouth,2:55,Win,Rowan Scott,Risen Again,1.9,1.9,100.0,4,1.0,-1.0,2.63,1.9,2.63
2025-05-22,Ffos Las,3:05,Win,Gavin Sheehan,Obsessedwithyou,4.6,4.6,100.0,1,1.0,3.6,6.23,4.6,6.23
2025-05-22,Yarmouth,3:25,Win,George Downing,Acceptance,4.0,4.0,100.0,6,1.0,-1.0,5.23,4.0,5.23
2025-05-22,Ffos Las,3:35,EW,Ciaran Gethings,Millsbridge,13.0,13.0,100.0,5,1.0,-0.5,4.73,13.0,4.73
2025-05-22,Ffos Las,4:05,Win,Ellis Collier(5),Djo Dela Barriere,3.05,3.05,100.0,3,1.0,-1.0,3.73,3.05,3.73
2025-05-22,Haydock,4:17,Win,William Buick,Spirited Style,2.98,2.98,100.0,1,1.0,1.98,5.71,2.98,5.71
2025-05-22,Ffos Las,4:40,EW,Connor Brace,Junior Des Mottes,34.0,34.0,100.0,3,1.0,2.9,8.61,34.0,8.61
2025-05-22,Haydock,4:52,Win,Paul Mulrennan,Woroodd,2.2,2.2,100.0,1,1.0,1.2,9.81,2.2,9.81
2025-05-22,Yarmouth,5:00,EW,Kieran Shoemark,Anglo Saxson,5.0,5.0,100.0,5,1.0,-0.5,9.31,5.0,9.31
2025-05-22,Haydock,5:22,EW,Sam Hitchcott,Miss Collada,46.0,46.0,100.0,6,1.0,-0.5,8.81,46.0,8.81
2025-05-22,Wolverhampton (AW),5:30,EW,Jack Dace(5),Sarabi,17.5,17.5,100.0,6,1.0,-0.5,8.31,17.5,8.31
2025-05-22,Limerick,5:38,Win,Darragh Okeeffe,Look To The West,1.86,1.86,100.0,NR,1.0,0.0,8.31,1.86,8.31
2025-05-22,Limerick,6:08,EW,Jake Coen(3),Ambitious Fellow,5.5,5.5,100.0,NR,1.0,0.0,8.31,5.5,8.31
2025-05-22,Wolverhampton (AW),6:30,Win,Jack Mitchell,Kitty Furnival,1.52,1.52,100.0,NR,1.0,0.0,8.31,1.52,8.31
2025-05-22,Limerick,6:38,Win,Shane Ocallaghan(5),U Asking Me,4.1,4.1,100.0,NR,1.0,0.0,8.31,4.1,8.31
2025-05-22,Wolverhampton (AW),7:00,EW,Andrew Mullen,That Lucas Fella,9.8,9.8,100.0,2,1.0,0.48,8.79,9.8,8.79
2025-05-22,Limerick,7:08,Win,Conor Stone-Walsh(3),Iceberg Theory,2.86,2.86,100.0,NR,1.0,0.0,8.79,2.86,8.79
2025-05-22,Wolverhampton (AW),7:30,EW,Jack Mitchell,Aroof,5.1,5.1,100.0,5,1.0,-0.5,8.29,5.1,8.29
2025-05-22,Limerick,7:38,EW,Charlie Odwyer(5),Pride Of Place,50.0,50.0,100.0,NR,1.0,0.0,8.29,50.0,8.29
2025-05-22,Wolverhampton (AW),8:00,EW,Stevie Donohoe,The Cola Brasil,10.0,10.0,100.0,6,1.0,-0.5,7.79,10.0,7.79
2025-05-22,Limerick,8:08,EW,Phillip Enright,Ceroc,5.3,5.3,100.0,NR,1.0,0.0,7.79,5.3,7.79
2025-05-22,Wolverhampton (AW),8:30,Win,Daniel Muscutt,Triggered,4.2,4.2,100.0,2,1.0,-1.0,6.79,4.2,6.79
2025-05-22,Wolverhampton (AW),9:00,Win,Daniel Muscutt,Ornately,3.45,3.45,100.0,2,1.0,-1.0,5.79,3.45,5.79
2025-05-23,Bath,1:40,Win,Darragh Keenan,Connies Rose,2.12,2.12,100.0,7,1.0,-1.0,-1.0,2.12,-1.0
2025-05-23,Haydock,1:50,Win,Jack Dace(7),Ocean Heights,1.69,1.69,100.0,1,1.0,0.69,-0.31,1.69,-0.31
2025-05-23,Goodwood,2:05,EW,Hollie Doyle,Mission Classified,13.5,13.5,100.0,3,1.0,0.85,0.54,13.5,0.54
2025-05-23,Bath,2:15,EW,George Bass,Miss Ayala,16.0,16.0,100.0,NR,1.0,0.0,0.54,16.0,0.54
2025-05-23,Haydock,2:25,EW,Billy Loughnane,Bella Lyra,9.2,9.2,100.0,3,1.0,0.42,0.96,9.2,0.96
2025-05-23,Goodwood,2:40,EW,Rossa Ryan,Vino Victrix,7.6,7.6,100.0,6,1.0,-0.5,0.46,7.6,0.46
2025-05-23,Haydock,3:00,Win,Oisin Murphy,Frost At Dawn,3.7,3.7,100.0,1,1.0,2.7,3.16,3.7,3.16
2025-05-23,Goodwood,3:15,EW,David Egan,Loving Look,27.0,27.0,100.0,8,1.0,-0.5,2.66,27.0,2.66
2025-05-23,Bath,3:25,Win,J F Egan,Piranha Rama,3.75,3.75,100.0,NR,1.0,0.0,2.66,3.75,2.66
2025-05-23,Haydock,3:35,Win,Billy Loughnane,Wild Desert,1.99,1.99,100.0,1,1.0,0.99,3.65,1.99,3.65
2025-05-23,Goodwood,3:50,Win,Clifford Lee,Liberty Lane,1.4,1.4,100.0,1,1.0,0.4,4.05,1.4,4.05
2025-05-23,Bath,4:00,EW,Rob Hornby,Nuptown Girl,9.0,9.0,100.0,3,1.0,0.4,4.45,9.0,4.45
2025-05-23,Goodwood,4:25,EW,Robert Havlin,Dream Of Mischief,36.0,36.0,100.0,8,1.0,-0.5,3.95,36.0,3.95
2025-05-23,Bath,4:35,EW,J F Egan,Agent Of Fortune,13.0,13.0,100.0,6,1.0,-0.5,3.45,13.0,3.45
2025-05-23,Haydock,4:45,EW,Sean Levey,D Day Major Winter,15.0,15.0,100.0,7,1.0,-0.5,2.95,15.0,2.95
2025-05-23,Worcester,4:48,EW,Ciaran Gethings,Gerard Mentor,14.5,14.5,100.0,5,1.0,-0.5,2.45,14.5,2.45
2025-05-23,Goodwood,4:55,EW,Cieren Fallon,Bintjeddah,7.2,7.2,100.0,8,1.0,-0.5,1.95,7.2,1.95
2025-05-23,Downpatrick,5:00,EW,Brian Hayes,Reinado,9.0,9.0,100.0,NR,1.0,0.0,1.95,9.0,1.95
2025-05-23,Haydock,5:17,EW,Sean Levey,Antelope,5.1,5.1,100.0,1,1.0,2.06,4.01,5.1,4.01
2025-05-23,Worcester,5:23,EW,James Bowen,Sageburg County,6.4,6.4,100.0,3,1.0,0.14,4.15,6.4,4.15
2025-05-23,Goodwood,5:30,EW,Mason Paetel(7),Kiss And Run,7.8,7.8,100.0,7,1.0,-0.5,3.65,7.8,3.65
2025-05-23,Downpatrick,5:35,Win,Brian Hayes,Depalma,3.75,3.75,100.0,NR,1.0,0.0,3.65,3.75,3.65
2025-05-23,Curragh,5:45,EW,Jamie Powell(3),Greek Flower,7.6,7.6,100.0,NR,1.0,0.0,3.65,7.6,3.65
2025-05-23,Worcester,5:57,EW,Ben Jones,Call To Duty,5.5,5.5,100.0,2,1.0,0.05,3.7,5.5,3.7
2025-05-23,Downpatrick,6:05,Win,Dylan Robinson,Robindevidastar,4.6,4.6,100.0,NR,1.0,0.0,3.7,4.6,3.7
2025-05-23,Pontefract,6:15,EW,Billy Garritty,Grantley Hall,11.5,11.5,100.0,7,1.0,-0.5,3.2,11.5,3.2
2025-05-23,Worcester,6:32,EW,Sean Bowen,Manowest,5.5,5.5,100.0,1,1.0,2.3,5.5,5.5,5.5
2025-05-23,Downpatrick,6:37,Win,Keith Donoghue,Tankardstown Diva,2.88,2.88,100.0,NR,1.0,0.0,5.5,2.88,5.5
2025-05-23,Pontefract,6:47,EW,Joanna Mason,Liverpool Star,27.0,27.0,100.0,9,1.0,-0.5,5.0,27.0,5.0
2025-05-23,Curragh,6:55,EW,Colin Keane,Tiberius Thunder,6.2,6.2,100.0,NR,1.0,0.0,5.0,6.2,5.0
2025-05-23,Worcester,7:02,EW,Lee Edwards,Inchiquin Spirit,9.6,9.6,100.0,8,1.0,-0.5,4.5,9.6,4.5
2025-05-23,Downpatrick,7:07,EW,Mr P A King(5),Grageen,5.5,5.5,100.0,NR,1.0,0.0,4.5,5.5,4.5
2025-05-23,Pontefract,7:17,EW,Non-Runner,Kings Hand,8.0,8.0,100.0,NR,1.0,0.0,4.5,8.0,4.5
2025-05-23,Curragh,7:25,Win,Chris Hayes,Moltophino,4.2,4.2,100.0,NR,1.0,0.0,4.5,4.2,4.5
2025-05-23,Worcester,7:32,Win,Sean Bowen,All Well And Good,1.83,1.83,100.0,1,1.0,0.83,5.33,1.83,5.33
2025-05-23,Downpatrick,7:37,EW,Mr E Mahon(7),Eyes Off Annie,12.5,12.5,100.0,NR,1.0,0.0,5.33,12.5,5.33
2025-05-23,Pontefract,7:47,EW,Billy Garritty,Yakhabar,16.0,16.0,100.0,7,1.0,-0.5,4.83,16.0,4.83
2025-05-23,Worcester,8:02,EW,David Noonan,Regal Cavalier,9.6,9.6,100.0,4,1.0,-0.5,4.33,9.6,4.33
2025-05-23,Downpatrick,8:07,EW,Mr D Osullivan(7),Noble Name,7.6,7.6,100.0,NR,1.0,0.0,4.33,7.6,4.33
2025-05-23,Pontefract,8:17,EW,Paul Mulrennan,Believe In Lies,13.5,13.5,100.0,4,1.0,-0.5,3.83,13.5,3.83
2025-05-23,Curragh,8:25,Win,Jack Kearney(3),Ocean Manifest,3.6,3.6,100.0,NR,1.0,0.0,3.83,3.6,3.83
2025-05-23,Worcester,8:32,Win,Gavin Sheehan,Battle Of Omdurman,3.5,3.5,100.0,3,1.0,-1.0,2.83,3.5,2.83
2025-05-23,Pontefract,8:47,EW,Non-Runner,Milteye,17.0,17.0,100.0,NR,1.0,0.0,2.83,17.0,2.83
2025-05-24,Haydock,1:15,EW,Silvestre De Sousa,Dashing Darcey,13.0,13.0,100.0,2,1.0,0.8,0.8,13.0,0.8
2025-05-24,Catterick,1:40,EW,James Sullivan,Highfield Sunshine,9.2,9.2,100.0,2,1.0,0.42,1.22,9.2,1.22
2025-05-24,Haydock,1:50,EW,William Buick,Afentiko,29.0,29.0,100.0,3,1.0,2.4,3.62,29.0,3.62
2025-05-24,Curragh,1:55,EW,W J Lee,Magical Hope,10.5,10.5,100.0,NR,1.0,0.0,3.62,10.5,3.62
2025-05-24,Goodwood,2:05,EW,Hollie Doyle,Basalt,16.5,16.5,100.0,5,1.0,-0.5,3.12,16.5,3.12
2025-05-24,Beverley,2:10,Win,Joanna Mason,Artista,4.1,4.1,100.0,3,1.0,-1.0,2.12,4.1,2.12
2025-05-24,Catterick,2:15,EW,Aiden Brookes(3),Unthinkable,7.6,7.6,100.0,2,1.0,0.26,2.38,7.6,2.38
2025-05-24,Haydock,2:25,EW,Luke Morris,Tasmania,13.0,13.0,100.0,NR,1.0,0.0,2.38,13.0,2.38
2025-05-24,Goodwood,2:35,Win,Hollie Doyle,Blue Nguru,3.75,3.75,100.0,3,1.0,-1.0,1.38,3.75,1.38
2025-05-24,Beverley,2:45,EW,Sam James,Naval Light,5.6,5.6,100.0,2,1.0,0.06,1.44,5.6,1.44
2025-05-24,Catterick,2:50,EW,Ryan Kavanagh(5),Zooks,8.4,8.4,100.0,3,1.0,0.34,1.78,8.4,1.78
2025-05-24,Haydock,3:00,EW,Jason Hart,Big Mojo,5.6,5.6,100.0,4,1.0,-0.5,1.28,5.6,1.28
2025-05-24,Curragh,3:05,Win,Ryan Moore,Storm Boy,3.1,3.1,100.0,NR,1.0,0.0,1.28,3.1,1.28
2025-05-24,Goodwood,3:15,EW,Saffie Osborne,Manila Thriller,21.0,21.0,100.0,7,1.0,-0.5,0.78,21.0,0.78
2025-05-24,Beverley,3:20,EW,P J Mcdonald,Palazzo Persico,8.4,8.4,100.0,4,1.0,-0.5,0.28,8.4,0.28
2025-05-24,Haydock,3:30,Win,Paul Mulrennan,American Affair,2.9,2.9,100.0,5,1.0,-1.0,-0.72,2.9,-0.72
2025-05-24,Catterick,3:35,EW,David Nolan,Nad Alshiba Snow,6.4,6.4,100.0,3,1.0,0.14,-0.58,6.4,-0.58
2025-05-24,Curragh,3:40,Win,Dylan Browne Mcmonagle,Scorthy Champ,4.1,4.1,100.0,NR,1.0,0.0,-0.58,4.1,-0.58
2025-05-24,Cartmel,4:00,Win,Jack Quinlan,D Day Arvalenreeva,2.66,2.66,100.0,1,1.0,1.66,1.08,2.66,1.08
2025-05-24,Catterick,4:05,EW,Rhys Elliott(5),Mrs Bagerran,5.5,5.5,100.0,5,1.0,-0.5,0.58,5.5,0.58
2025-05-24,Haydock,4:10,EW,Harry Davies,Don Pacifico,7.0,7.0,100.0,2,1.0,0.2,0.78,7.0,0.78
2025-05-24,Curragh,4:15,Win,Ryan Moore,Skukuza,2.98,2.98,100.0,NR,1.0,0.0,0.78,2.98,0.78
2025-05-24,Goodwood,4:20,EW,Richard Kingscote,Song Brocade,18.0,18.0,100.0,7,1.0,-0.5,0.28,18.0,0.28
2025-05-24,Beverley,4:25,EW,Ben Robinson,Solar Bentley,7.0,7.0,100.0,NR,1.0,0.0,0.28,7.0,0.28
2025-05-24,Cartmel,4:30,Win,Nathan Moscrop,My Friend Yeats,3.65,3.65,100.0,1,1.0,2.65,2.93,3.65,2.93
2025-05-24,Catterick,4:35,EW,Andrew Mullen,Call Me Audrey,8.4,8.4,100.0,4,1.0,-0.5,2.43,8.4,2.43
2025-05-24,Haydock,4:40,EW,Amie Waugh(3),Humble Spark,5.6,5.6,100.0,2,1.0,0.06,2.49,5.6,2.49
2025-05-24,Salisbury,4:45,EW,Jack Mitchell,Proof,11.0,11.0,100.0,2,1.0,0.6,3.09,11.0,3.09
2025-05-24,Curragh,4:50,EW,Ben Coen,Chicago Fireball,7.6,7.6,100.0,NR,1.0,0.0,3.09,7.6,3.09
2025-05-24,Goodwood,4:55,EW,Luke Catton(5),Naanas Sparkle,9.0,9.0,100.0,3,1.0,0.4,3.49,9.0,3.49
2025-05-24,Beverley,5:00,EW,Taryn Langley(7),Light Up Our Stars,5.2,5.2,100.0,2,1.0,0.02,3.51,5.2,3.51
2025-05-24,Cartmel,5:05,Win,Jordan Gainford,Robyndeglory,4.9,4.9,100.0,7,1.0,-1.0,2.51,4.9,2.51
2025-05-24,Catterick,5:13,Win,,Danzan,4.4,4.4,100.0,NR,1.0,0.0,2.51,4.4,2.51
2025-05-24,Salisbury,5:20,EW,Jordan Williams(5),Eagle Day,8.0,8.0,100.0,3,1.0,0.3,2.81,8.0,2.81
2025-05-24,Windsor,5:30,Win,Georgia Dobie,Thiscouldbefun,3.9,3.9,100.0,7,1.0,-1.0,1.81,3.9,1.81
2025-05-24,Cartmel,5:38,EW,Henry Brooke,Sean Og,5.2,5.2,100.0,3,1.0,0.02,1.83,5.2,1.83
2025-05-24,Salisbury,5:50,Win,Hector Crouch,Stanhope Gardens,2.18,2.18,100.0,1,1.0,1.18,3.01,2.18,3.01
2025-05-24,Cartmel,6:08,Win,Nathan Moscrop,Disco Annie,2.3,2.3,100.0,4,1.0,-1.0,2.01,2.3,2.01
2025-05-24,Salisbury,6:20,EW,Rose Dawes(5),Brave Guest,10.0,10.0,100.0,NR,1.0,0.0,2.01,10.0,2.01
2025-05-24,Windsor,6:30,Win,Connor Planas(3),Masolar,4.5,4.5,100.0,5,1.0,-1.0,1.01,4.5,1.01
2025-05-24,Cartmel,6:38,EW,Ben Smith(7),Fathers Advice,6.8,6.8,100.0,1,1.0,3.08,4.09,6.8,4.09
2025-05-24,Salisbury,6:50,Win,Billy Loughnane,Jarraaf,2.7,2.7,100.0,4,1.0,-1.0,3.09,2.7,3.09
2025-05-24,Windsor,7:00,EW,Jack Doughty(3),Claim That Smile,5.2,5.2,100.0,8,1.0,-0.5,2.59,5.2,2.59
2025-05-24,Cartmel,7:08,Win,Alan Doyle(5),Toombridge,4.5,4.5,100.0,5,1.0,-1.0,1.59,4.5,1.59
2025-05-24,Windsor,7:35,EW,Trevor Whelan,Lady Dreamer,5.2,5.2,100.0,4,1.0,-0.5,1.09,5.2,1.09
2025-05-24,Windsor,8:05,EW,Jonny Peate,Argentum,11.5,11.5,100.0,4,1.0,-0.5,0.59,11.5,0.59
2025-05-24,Salisbury,8:20,Win,Jack Callan(7),Marioento,3.8,3.8,100.0,3,1.0,-1.0,-0.41,3.8,-0.41
2025-05-24,Windsor,8:35,EW,William Cox,Landlordtothestars,6.2,6.2,100.0,7,1.0,-0.5,-0.91,6.2,-0.91
2025-05-25,Curragh,1:20,EW,Dylan Browne Mcmonagle,Dancing Saxon,70.0,70.0,100.0,NR,1.0,0.0,0.0,70.0,0.0
2025-05-25,Fontwell,1:48,EW,Freddie Mitchell(5),Lightning Maqueen,8.2,8.2,100.0,3,1.0,0.32,0.32,8.2,0.32
2025-05-25,Uttoxeter,2:03,EW,Aaron Anderson(5),East Eagle,7.6,7.6,100.0,6,1.0,-0.5,-0.18,7.6,-0.18
2025-05-25,Kelso,2:13,EW,Harry Reed,The White Elephant,17.0,17.0,100.0,7,1.0,-0.5,-0.68,17.0,-0.68
2025-05-25,Fontwell,2:23,EW,Harry Kimber,Master Mikey Dee,19.0,19.0,100.0,4,1.0,-0.5,-1.18,19.0,-1.18
2025-05-25,Curragh,2:30,Win,Ryan Moore,Porta Fortuna,2.24,2.24,100.0,NR,1.0,0.0,-1.18,2.24,-1.18
2025-05-25,Uttoxeter,2:38,Win,Stan Sheppard,Marlacoo,2.96,2.96,100.0,3,1.0,-1.0,-2.18,2.96,-2.18
2025-05-25,Fontwell,2:58,EW,Elliott England(10),Getaway Drumlee,5.0,5.0,100.0,7,1.0,-0.5,-2.68,5.0,-2.68
2025-05-25,Curragh,3:05,EW,Jim Crowley,Anmaat,7.0,7.0,100.0,NR,1.0,0.0,-2.68,7.0,-2.68
2025-05-25,Uttoxeter,3:13,Win,Harry Skelton,Service Minimum,2.6,2.6,100.0,2,1.0,-1.0,-3.68,2.6,-3.68
2025-05-25,Kelso,3:23,EW,Brian Hughes,Express Run,55.0,55.0,100.0,3,1.0,5.0,1.32,55.0,1.32
2025-05-25,Fontwell,3:33,EW,Marc Goldstein,Captain Howse,34.0,34.0,100.0,6,1.0,-0.5,0.82,34.0,0.82
2025-05-25,Curragh,3:40,Win,Chris Hayes,Swelter,3.45,3.45,100.0,NR,1.0,0.0,0.82,3.45,0.82
2025-05-25,Uttoxeter,3:48,EW,Conor Ofarrell,Vintage Fizz,6.2,6.2,100.0,4,1.0,-0.5,0.32,6.2,0.32
2025-05-25,Kelso,3:58,EW,Henry Brooke,Simple Star,6.2,6.2,100.0,2,1.0,0.12,0.44,6.2,0.44
