Date,Meeting,Time,EW/Win,Jockey,Horse,Odds,SP,Value,Result,Stake,Profit,Running Profit,Best Odds,Running Profit Best Odds
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-19,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-20,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-21,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
2025-05-22,Unknown,??:??,Win,Unknown,Unknown,0.0,0.0,-,NR,1.0,0.0,0.0,0.0,0.0
