race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:05 Goodwood,Mission Classified,4.0,-1,,133,2,6.0,Class 4,Good,7851.0,Archie Watson,Hollie Doyle,39,-1,-1.0,-1.0,0,0.5714285714285714,0.8024099469184875,0.9887758493423462,"['🔥 Trainer 39%', '⚖️ Light Weight']",✍️ yard in form.,13.5,2:05,goodwood,mission classified,0.8024099469184875,13.5,0.0,2025-05-23,1.0,2025-05-23,GB,British Stallion Studs EBF Novice Stakes (GBB/IRE Incentive Race),Flat,Class 4,,,2yo,,6f,6f,1207.0,Good,6,4,3,4.0,4.5,3.25,2,C,133,,1:14.88,74.88,7.0,Hollie Doyle,Archie Watson,1840.50,–,–,Acclamation (GB),Adelante (FR),Zoffany,Victorious Racing Fawzi Nass,Led but pestered - headed over 1f out - weakened inside final furlong(tchd 5/1),0.0,advised
3:00 Haydock,Frost At Dawn,3.0,-1,119.0,133,4,6.0,Class 1,Good To Firm,28355.0,William Knight,Oisin Murphy,63,-1,7.0,20.0,2,0.2727272727272727,0.979742705821991,0.9887758493423462,"['🔥 Trainer 63%', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",3.7,3:00,haydock,frost at dawn,0.979742705821991,3.7,0.0,2025-05-23,1.0,2025-05-23,GB,Women In Racing/British EBF Cecil Frail Listed Stakes (),Flat,Class 1,Listed,,3yo+,,6f,6f,1207.0,Good To Firm,11,2,1,3.0,0,0,4,F,133,v,1:13.54,73.54,2.8,Oisin Murphy,William Knight,28355,103,–,Frosted (USA),Hawana (USA),War Front,Abdulla Al Mansoori,Made all - edged right from 2f out - ridden and against near rail final furlong - faced challenge towards finish - all out(op 2/1 tchd 9/5 and tchd 9/4),2.7,advised
3:15 Goodwood,Loving Look,10.0,-1,93.0,134,4,12.0,Class 3,Good,25770.0,Hughie Morrison,David Egan,27,-1,38.0,26.0,0,1.0,0.92487633228302,0.9887758493423462,"['🔥 Trainer 27%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",27.0,3:15,goodwood,loving look,0.92487633228302,27.0,0.0,2025-05-23,1.0,2025-05-23,GB,British Stallion Studs EBF Fillies Handicap (GBBPlus Race),Flat,Class 3,,0-90,3yo+,F,1m4f,12f,2412.0,Good,10,5,8,10.0,5.5,0.3,4,F,134,,2:41.38,161.38,15.0,David Egan,Hughie Morrison,,82,–,Expert Eye (GB),Light Of Love GB,Dylan Thomas,Brightwalton Bloodstock Ltd,Took keen hold - towards rear - no impression from over 1f out(tchd 16/1),0.0,advised
3:50 Goodwood,Liberty Lane,3.0,-1,128.0,129,5,10.0,Class 1,Good,34026.0,K R Burke,Clifford Lee,47,-1,19.0,14.0,0,0.3333333333333333,0.9717314839363098,0.9887758493423462,"['🔥 Trainer 47%', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, good draw position.",1.4,3:50,goodwood,liberty lane,0.9717314839363098,1.4,0.0,2025-05-23,1.0,2025-05-23,GB,BetGoodwin Festival Stakes (),Flat,Class 1,Listed,,4yo+,,1m2f,10f,1991.0,Good,9,5,1,3.0,0,0,5,G,129,,2:6.59,126.59,4.0,Clifford Lee,K R Burke,34026,113,–,Teofilo (IRE),Cape Liberty (IRE),Cape Cross,Sheikh Mohammed Obaid Al Maktoum,Midfield - headway on outer from over 3f out - ridden when led 1f out - kept on and just did enough(tchd 5/2),0.4,advised
5:45 Curragh,Greek Flower,1.0,-1,93.0,140,6,6.0,,Good,15340.0,John James Feane,Jamie Powell(3),75,-1,2.0,230.0,0,0.07142857142857142,0.884794294834137,0.9887758493423462,"['🔥 Trainer 75%', '🚫 Layoff']","✍️ yard in form, returning from a layoff, good draw position.",7.6,5:45,curragh,greek flower,0.884794294834137,7.6,0.0,2025-05-23,1.0,2025-05-23,IRE,Cavalor Equine Nutrition Irish EBF Fillies Handicap,Flat,,,,3yo+,F,6f,6f,1207.0,Good,13,1,6,1.0,6.25,0.3,6,M,137,,1:13.52,73.52,8.0,Jamie Powell,John James Feane,€260,83,–,Australia (GB),Timeless Call (IRE),Sakhee,Reginald Roberts,Towards rear on far side of group - kept on inside final furlong - never dangerous(op 15/2 tchd 13/2),0.0,advised
6:47 Pontefract,Liverpool Star,1.0,-1,,133,2,6.0,Class 2,Good To Firm,15462.0,Michael & David Easterby,Joanna Mason,47,-1,-1.0,-1.0,2,0.1,0.9667189717292786,0.9887758493423462,"['🔥 Trainer 47%', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",27.0,6:47,pontefract,liverpool star,0.9667189717292786,27.0,0.0,2025-05-23,1.0,2025-05-23,GB,Juddmonte EBF Restricted Maiden Stakes (Bands B C And D) (EBF Restricted Qualifier) (GBB Race),Flat,Class 2,,,2yo,,6f,6f,1207.0,Good To Firm,10,3,9,1.0,12.75,3.5,2,G,133,v,1:18.36,78.36,34.0,Joanna Mason,Michael & David Easterby,,–,–,Acclamation (GB),Chasing The Rain GB,Toronado,Tim Cottier Racing,Slowly away - always behind(tchd 28/1),0.0,advised
6:55 Curragh,Tiberius Thunder,1.0,-1,112.0,131,3,10.0,Class 1,Good,35400.0,Adrian Murray,Colin Keane,63,-1,30.33333333333333,31.0,0,0.16666666666666666,0.9772261381149292,0.9887758493423462,"['🔥 Trainer 63%', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form, good draw position.",6.2,6:55,curragh,tiberius thunder,0.9772261381149292,6.2,0.0,2025-05-23,1.0,2025-05-23,IRE,Heider Family Stables Gallinule Stakes,Flat,,Group 3,,3yo,,1m2f,10f,2012.0,Good,5,5,5,1.0,3,0.1,3,C,131,,2:5.08,125.08,5.0,Colin Keane,Adrian Murray,€1200,101,–,Night Of Thunder (IRE),Ellthea (IRE),Kodiac,Amo Racing Limited Giselle De Aguiar,Raced in third - bit short of room under 2f out - hampered over 1f out - kept on but lost fourth towards finish(op 9/2),0.0,advised
7:25 Curragh,Moltophino,2.0,-1,105.0,119,4,6.0,,Good,29500.0,John Andrew Kinsella,Chris Hayes,50,-1,7.0,25.0,0,0.125,0.9887758493423462,0.9887758493423462,"['🔥 Trainer 50%', '⚖️ Light Weight', '🧠 Monster NAP', '❗ Confidence 90%+']","✍️ yard in form, good draw position.",4.2,7:25,curragh,moltophino,0.9887758493423462,4.2,0.0,2025-05-23,1.0,2025-05-23,IRE,Irish Stallion Farms EBF Habitat Handicap (Premier Handicap),Flat,,,,4yo+,,6f,6f,1207.0,Good,15,16,1,2.0,0,0,4,G,119,tp,1:11.85,71.85,6.5,Chris Hayes,John Andrew Kinsella,€29500,79,–,Profitable (IRE),Seraphina (IRE),Pips Pride,Agricola Ficomontanino Leaf Stud,Led narrowly or disputed lead towards far side - ridden when edged left and led clearly over 1f out - clear final 110yds - kept on well - comfortably(op 8/1 tchd 5/1),3.2,advised
8:25 Curragh,Ocean Manifest,2.0,-1,89.0,134,4,8.0,,Good,12390.0,Stephen Thorne,Jack Kearney(3),100,-1,-1.0,223.0,0,0.08695652173913043,0.8011283874511719,0.9887758493423462,"['🔥 Trainer 100%', '🚫 Layoff', '⚖️ Light Weight']","✍️ yard in form, returning from a layoff, good draw position.",3.6,8:25,curragh,ocean manifest,0.8011283874511719,3.6,0.0,2025-05-23,1.0,2025-05-23,IRE,Ryans Cleaning Handicap,Flat,,,,4yo+,,1m,8f,1609.0,Good,20,7,18,2.0,12.75,1.25,4,G,131,t,1:41.97,101.97,,Jack Kearney,Stephen Thorne,,74,–,Siyouni (FR),Gold Sands (IRE),Cape Cross,J Kirkland Mrs J M Ryan,Midfield,-1.0,advised
