race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
5:00 Yarmouth,Anglo Saxson,7.0,-1,76.0,132,8,8.0,Class 6,Good To Firm,3768.0,Patrick Owens,Kieran Shoemark,75,-1,3.0,8.0,0,0.875,0.9491199851036072,0.9914271831512451,"['🔥 Trainer 75%', '🟢 Class Drop', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class.",5.0,5:00,yarmouth,anglo saxson,0.9491199851036072,5.0,0.0,2025-05-22,1.0,2025-05-22,GB,Holiday At Haven Seashore Handicap,Flat,Class 6,,0-60,4yo+,,1m,8f,1612.0,Good To Firm,8.0,3.0,5,7.0,11.25,2.25,8.0,G,132.0,,1:37.76,97.76,4.5,Kieran Shoemark,Patrick Owens,220.32,57,–,Starspangledbanner (AUS),Obligada (IRE),Beat Hollow,Daniel Macauliffe Anoj Don,Stumbled start - soon in touch with leaders - weakened over 1f out (jockey said gelding ran flat)(tchd 10/3 and tchd 4/1),0.0,advised
5:22 Haydock,Miss Collada,3.0,-1,83.0,135,3,7.0,Class 4,Good To Firm,6281.0,Richard Hannon,Sam Hitchcott,59,-1,15.0,17.0,0,0.25,0.9880334138870239,0.9914271831512451,"['🔥 Trainer 59%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class, good draw position.",46.0,5:22,haydock,miss collada,0.9880334138870239,46.0,0.0,2025-05-22,1.0,2025-05-22,GB,Betfred Bet Builder Handicap,Flat,Class 4,,0-78,3yo,,7f,7f,1401.0,Good To Firm,11.0,2.0,6,3.0,2.75,1.75,3.0,F,135.0,,1:27.29,87.29,23.0,Sam Hitchcott,Richard Hannon,,77,–,Mehmas (IRE),Kocollada (IRE),Kodiac,J Palmer Brown Partner,Ducked right start - took keen hold - in touch with leaders - some headway when not clear run over 1f out - short of room inside final furlong - not recover(op 25/1),0.0,advised
5:30 Wolverhampton (AW),Sarabi,8.0,-1,69.0,123,3,6.0,Class 6,Standard,3245.0,Michael Keady,Jack Dace(5),23,-1,-1.0,17.0,0,0.8888888888888888,0.9887526631355286,0.9914271831512451,"['🔥 Trainer 23%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ down in class.,17.5,5:30,wolverhampton (aw),sarabi,0.9887526631355286,17.5,0.0,2025-05-22,1.0,2025-05-22,GB,Download The Raceday Ready App Apprentice Handicap,Flat,Class 6,,0-58,3yo,,6f,6f,1225.0,Standard,9.0,9.0,6,8.0,4.5,.75,3.0,F,118.0,,1:15.61,75.61,29.0,Jack Dace,Michael Keady,,46,–,Siyouni (FR),Simmie (IRE),Fast Company,Apollo Horses I,Awkward start - in rear - kept on but not pace to challenge(op 25/1),0.0,advised
5:38 Limerick,Look To The West,,-1,152.0,156,7,20.0,,Good To Firm,12390.0,Henry De Bromhead,Darragh Okeeffe,61,-1,27.0,27.0,0,0.0,0.9637197256088257,0.9914271831512451,"['🔥 Trainer 61%', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form.",1.86,5:38,limerick,look to the west,0.9637197256088257,1.86,0.0,2025-05-22,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
6:08 Limerick,Ambitious Fellow,,-1,122.0,166,9,20.0,,Good To Firm,7375.0,Peter Fahey,Jake Coen(3),29,-1,8.0,21.0,0,0.0,0.8946130871772766,0.9914271831512451,['🔥 Trainer 29%'],✍️ yard in form.,5.5,6:08,limerick,ambitious fellow,0.8946130871772766,5.5,0.0,2025-05-22,1.0,2025-05-22,IRE,Summer Racing @ Limerick Racecourse Beginners Chase,Chase,,,,4yo+,,2m4f,20f,3983.0,Good,5.0,1.0,3,,19,9,9.0,G,163.0,p,5:3.50,303.50,8.0,Jake Coen,Peter Fahey,€1125,–,–,Fame And Glory (GB),Native Beauty (IRE),Kings Theatre,W B D Partnership,In rear - went third 5 out - outpaced from 4 out(tchd 11/2 and tchd 15/2),0.0,advised
6:30 Wolverhampton (AW),Kitty Furnival,3.0,-1,100.0,137,4,12.0,Class 4,Standard,5234.0,Simon & Ed Crisford,Jack Mitchell,76,-1,39.0,24.0,0,0.6,0.9493858218193054,0.9914271831512451,"['🔥 Trainer 76%', '🟢 Class Drop', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form.",1.52,6:30,wolverhampton (aw),kitty furnival,0.9493858218193054,1.52,0.0,2025-05-22,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
6:38 Limerick,U Asking Me,,-1,,145,8,20.0,,Good To Firm,6785.0,Eoin Doyle,Shane Ocallaghan(5),25,-1,20.0,174.0,0,0.0,0.8630649447441101,0.9914271831512451,"['🔥 Trainer 25%', '📈 In Form']","✍️ yard in form, strong recent form.",4.1,6:38,limerick,u asking me,0.8630649447441101,4.1,0.0,2025-05-22,1.0,2025-05-22,IRE,Anglo Printers Handicap Chase,Chase,,,,4yo+,,2m4f,20f,3983.0,Good,7.0,8.0,3,,11,9.5,8.0,G,140.0,t,5:1.50,301.50,6.5,Shane OCallaghan,Eoin Doyle,€1035,89,–,Ask (GB),Shes Our Luck (IRE),Key Of Luck,Your The One Syndicate,Towards rear - in touch with leaders after 3 out - went third but no extra before 2 out - jumped right 2 out - jumped right last(op 13/2),-1.0,advised
7:00 Wolverhampton (AW),That Lucas Fella,5.0,-1,63.0,135,3,8.5,Class 6,Standard,3245.0,Iain Jardine,Andrew Mullen,28,-1,-4.0,35.0,0,0.5,0.9777721166610718,0.9914271831512451,"['🔥 Trainer 28%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",9.8,7:00,wolverhampton (aw),that lucas fella,0.9777721166610718,9.8,0.0,2025-05-22,1.0,2025-05-22,GB,Free Digital Racecard At raceday-ready.com Handicap (Div I),Flat,Class 6,,0-55,3yo,,1m½f,8.5f,1739.0,Standard,10.0,2.0,2,5.0,3.75,3.75,3.0,G,135.0,,1:52.06,112.06,13.0,Andrew Mullen,Iain Jardine,1522.72,55,–,Territories (IRE),Orpha GB,New Approach,A Branniff,In touch with leaders - headway from 2f out - went second inside final furlong - kept on but no match for winner(op 15/2),0.0,advised
7:08 Limerick,Iceberg Theory,,-1,125.0,166,6,22.5,,Good To Firm,7375.0,Paul Nolan,Conor Stone-Walsh(3),20,-1,1.0,66.0,0,0.0,0.8830875754356384,0.9914271831512451,['🔥 Trainer 20%'],💬 Monster likes it — data suggests an edge.,2.86,7:08,limerick,iceberg theory,0.8830875754356384,2.86,0.0,2025-05-22,1.0,2025-05-22,IRE,Munster Drilling Beginners Chase,Chase,,,,5yo+,,2m6½f,22.5f,4572.0,Good,6.0,3.0,1,,0,0,6.0,G,163.0,p,5:47.20,347.20,3.5,Conor Stone-Walsh,Paul Nolan,€7375,–,–,Flemensfirth (USA),Joanne One (IRE),Vinnie Roe,John J Brennan,Led - headed and prominent before 1st - not fluent 3 out - soon pushed along - went second 2 out - intimidated by rival approaching last - ridden to lead and ran on well run-in(op 13/8),1.86,advised
7:30 Wolverhampton (AW),Aroof,6.0,-1,62.0,135,3,8.5,Class 6,Standard,3245.0,Mark Loughnane,Jack Mitchell,31,-1,2.0,24.0,0,0.6,0.9771387577056885,0.9914271831512451,"['🔥 Trainer 31%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",5.1,7:30,wolverhampton (aw),aroof,0.9771387577056885,5.1,0.0,2025-05-22,1.0,2025-05-22,GB,Free Digital Racecard At raceday-ready.com Handicap (Div II),Flat,Class 6,,0-55,3yo,,1m½f,8.5f,1739.0,Standard,9.0,1.0,5,6.0,5.25,0.1,3.0,G,135.0,,1:51.45,111.45,9.0,Jack Mitchell,Mark Loughnane,189.72,55,–,Kodiac (GB),Alwaysandforever (IRE),Teofilo,Precision Facades Ltd,In rear - raced wide and headway from 3f out - no impression from over 1f out(op 17/2 tchd 7/1 and tchd 9/1),0.0,advised
7:38 Limerick,Pride Of Place,,-1,88.0,168,6,22.5,,Good To Firm,5900.0,E Bolger,Charlie Odwyer(5),60,-1,9.0,14.0,0,0.0,0.9806430339813232,0.9914271831512451,"['🔥 Trainer 60%', '⚡ Fresh', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break.",50.0,7:38,limerick,pride of place,0.9806430339813232,50.0,0.0,2025-05-22,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
8:00 Wolverhampton (AW),The Cola Brasil,6.0,-1,73.0,132,9,7.0,Class 6,Standard,3245.0,Michael Bell,Stevie Donohoe,38,-1,-2.0,18.0,0,0.6,0.9855843186378479,0.9914271831512451,"['🔥 Trainer 38%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, down in class.",10.0,8:00,wolverhampton (aw),the cola brasil,0.9855843186378479,10.0,0.0,2025-05-22,1.0,2025-05-22,GB,Get The Inside Track With raceday-ready.com Handicap (Div I),Flat,Class 6,,0-60,4yo+,,7f,7f,1441.0,Standard,9.0,7.0,6,6.0,4,2.25,9.0,G,132.0,p,1:28.65,88.65,12.0,Stevie Donohoe,Michael Bell,,57,–,Mayson (GB),How Fortunate GB,Haafhd,Kms Orange Limited,Never better than midfield(op 9/1),0.0,advised
8:30 Wolverhampton (AW),Triggered,8.0,-1,75.0,132,9,7.0,Class 6,Standard,3245.0,Mark Loughnane,Daniel Muscutt,31,-1,0.0,17.0,0,0.8888888888888888,0.9914271831512451,0.9914271831512451,"['🔥 Trainer 31%', '🟢 Class Drop', '⚖️ Light Weight', '🧠 Monster NAP', '❗ Confidence 90%+']","✍️ yard in form, down in class.",4.2,8:30,wolverhampton (aw),triggered,0.9914271831512451,4.2,0.0,2025-05-22,1.0,2025-05-22,GB,Get The Inside Track With raceday-ready.com Handicap (Div II),Flat,Class 6,,0-60,4yo+,,7f,7f,1441.0,Standard,9.0,3.0,2,8.0,3,3,9.0,G,132.0,,1:28.66,88.66,4.5,Daniel Muscutt,Mark Loughnane,1522.72,57,–,Dandy Man (IRE),Triggers Broom (IRE),Arcano,L Bellman S A Mares,Dwelt start - in rear - headway into midfield after 2f - ran on and went second inside final 110yds - no match for winner(op 4/1),-1.0,advised
9:00 Wolverhampton (AW),Ornately,8.0,-1,71.0,135,3,7.0,Class 5,Standard,3978.0,James Fanshawe,Daniel Muscutt,80,-1,14.0,26.0,4,0.6666666666666666,0.9844116568565369,0.9914271831512451,"['🔥 Trainer 80%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",3.45,9:00,wolverhampton (aw),ornately,0.9844116568565369,3.45,0.0,2025-05-22,1.0,2025-05-22,GB,Race And Rest - Wolverhampton Holiday Inn Fillies Handicap,Flat,Class 5,,0-70,3yo+,F,7f,7f,1441.0,Standard,11.0,2.0,2,8.0,0.3,0.3,3.0,F,135.0,h,1:28.37,88.37,5.0,Daniel Muscutt,James Fanshawe,1866.56,69,–,Kingman (GB),Intricately (IRE),Fastnet Rock,Mrs Michelle Morris,Ducked right start - in touch with leaders - headway and ridden when challenging 1f out - briefly led final 110yds - no extra towards finish(op 9/2),-1.0,advised
