Tag,Tips,Profit,Wins,ROI %
❗ Confidence 90%+,3,5.0,2,166.66666666666669
📈 In Form,1,0.0,0,0.0
🧠 Monster NAP,1,0.0,0,0.0
🪶 Light Weight,1,0.0,0,0.0
