race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
5:45 Gowran Park,Luscious,8,-1,78.0,129,3,8.0,,Good,7080.0,G M Lyons,Colin Keane,66,-1,-4.0,300.0,0,0.7272727272727273,0.934027373790741,0.993858277797699,"['🔥 Trainer 66%', '🚫 Layoff', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff.",7.4,5:45,gowran park,luscious,0.934027373790741,7.4,0.0,2025-05-21,1.0,2025-05-21,IRE,Gowran Park Median Auction Fillies Maiden,Flat,,,,3yo,F,1m,8f,1609.0,Good,10.0,6.0,3,8.0,1.5,.5,3.0,F,129.0,,1:42.69,102.69,9.5,Colin Keane,G M Lyons,€1080,–,–,Profitable (IRE),Rag And Bone (CAN),Street Cry,J Brady Brian Gleeson,Prominent throughout - went second under 2f out - keeping on when slightly hampered and lost second inside final furlong(op 15/2 tchd 7/1 and tchd 9/1),0.0,advised
6:00 Brighton,Coolagh Magic,5,-1,78.0,131,9,5.5,Class 6,Good To Firm,3454.0,Anthony Carson,William Carson,,-1,15.666666666666664,29.0,0,0.7142857142857143,0.9934847950935364,0.993858277797699,"['🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ down in class.,22.0,6:00,brighton,coolagh magic,0.9934847950935364,22.0,0.0,2025-05-21,1.0,2025-05-21,GB,Starsports.Bet Handicap,Flat,Class 6,,0-65,4yo+,,5½f,5.5f,1061.0,Good,6.0,4.0,4,5.0,5.25,3.25,9.0,G,131.0,,1:2.04,62.04,10.0,William Carson,Anthony Carson,405.24,59,–,Sepoy (AUS),Miliika GB,Green Desert,Lady Emma Oshea And A Carson,In touch with leaders - headway and pressed leader over 1f out - weakened inside final furlong(tchd 8/1),0.0,advised
6:10 Kempton (AW),English Lady,3,-1,74.0,131,3,8.0,Class 6,Standard To Slow,3140.0,Dean Ivory,Robert Havlin,,-1,20.0,16.0,0,0.21428571428571427,0.968349814414978,0.993858277797699,"['🟢 Class Drop', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ down in class, strong recent form, good draw position.",21.0,6:10,kempton (aw),english lady,0.968349814414978,21.0,0.0,2025-05-21,1.0,2025-05-21,GB,Unibet 40 000+ Live Streamed Events Handicap (London Mile Series Qualifier),Flat,Class 6,,0-65,3yo,,1m,8f,1609.0,Standard To Slow,13.0,10.0,8,3.0,8.25,1.25,3.0,F,131.0,,1:40.42,100.42,12.0,Robert Havlin,Dean Ivory,,63,–,Inns Of Court (IRE),English Queen GB,Makfi,Radlett Racing,Towards rear - not clear run when against far rail from over 2f out - headway when in the clear 2f out - not clear run again over 1f out - soon waiting for room - kept on inside final furlong(op 10/1),0.0,advised
6:20 Gowran Park,Pierre Royal,1,-1,82.0,134,3,8.0,,Good,7080.0,D K Weld,Chris Hayes,88,-1,0.0,14.0,0,0.125,0.9301835298538208,0.993858277797699,"['🔥 Trainer 88%', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, good draw position.",5.7,6:20,gowran park,pierre royal,0.9301835298538208,5.7,0.0,2025-05-21,1.0,2025-05-21,IRE,INPBA Sponsored Gate June 2nd Maiden,Flat,,,,3yo+,,1m,8f,1609.0,Good,8.0,6.0,1,1.0,0,0,3.0,C,134.0,,1:41.97,101.97,1.44,Chris Hayes,D K Weld,€7080,–,–,Kingman (GB),Rose De Pierre (IRE),Dubawi,Moyglare Stud Farm,Made all - led - pushed along 2f out - ridden clear over 1f out - kept on well - comfortably(op 1/2 tchd 4/7),2.56,advised
6:30 Brighton,Salve Electra,3,-1,73.0,123,3,8.0,Class 5,Good To Firm,3888.0,James Horton,Adam Farragher,35,-1,3.0,28.0,0,0.6,0.9775787591934204,0.993858277797699,"['🔥 Trainer 35%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, down in class.",7.6,6:30,brighton,salve electra,0.9775787591934204,7.6,0.0,2025-05-21,1.0,2025-05-21,GB,Star Sports We Believe In Bookmaking Restricted Novice Stakes (For Horses In Bands C/D) (GBB Race),Flat,Class 5,,,3-5yo,,1m,8f,1606.0,Good,5.0,5.0,1,3.0,0,0,3.0,F,123.0,,1:36.87,96.87,26.0,Adam Farragher,James Horton,3888,–,–,Expert Eye (GB),Salve Etoiles (IRE),Sea The Stars,Hunscote Stud Limited,Took keen hold - prominent - not clear run over 2f out - ridden when pressed leader inside final 110yds - led post(op 22/1),3.75,advised
6:50 Gowran Park,Daymer Bay,3,-1,68.0,142,4,8.0,,Good,5900.0,Ciaran Murphy,Ben Coen,6,-1,-7.0,219.0,0,0.15789473684210525,0.9784008264541626,0.993858277797699,"['🚫 Layoff', '❗ Confidence 90%+']","✍️ returning from a layoff, good draw position.",19.0,6:50,gowran park,daymer bay,0.9784008264541626,19.0,0.0,2025-05-21,1.0,2025-05-21,IRE,Membership At Gowran Park Golf Club Handicap,Flat,,,0-60,4yo+,,1m,8f,1609.0,Good,15.0,2.0,12,3.0,11.5,0.3,4.0,G,142.0,,1:43.45,103.45,21.0,Ben Coen,Ciaran Murphy,,60,–,Expert Eye (GB),Reset In Blue (IRE),Fastnet Rock,Magnificent Seven Syndicate,In touch with leaders - weakened under 2f out(tchd 14/1),0.0,advised
7:00 Brighton,Warm Glow,7,-1,68.0,135,3,7.0,Class 6,Good To Firm,3454.0,James Fanshawe,Jack Doughty(3),88,-1,-4.0,22.0,0,0.7777777777777778,0.9922221302986145,0.993858277797699,"['🔥 Trainer 88%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",9.8,7:00,brighton,warm glow,0.9922221302986145,9.8,0.0,2025-05-21,1.0,2025-05-21,GB,Star Sports Brighton Owners Series Handicap,Flat,Class 6,,0-60,3yo,,7f,7f,1399.0,Good,8.0,1.0,3,7.0,2.5,1.25,3.0,F,132.0,,1:22.49,82.49,4.5,Jack Doughty,James Fanshawe,809.82,60,–,Oasis Dream (GB),Waldmark (GER),Mark Of Esteem,Newsells Park Stud,Held up in rear - headway on outer over 2f out - went third inside final 110yds - ran on(op 9/2),0.0,advised
7:10 Kempton (AW),Museum Piece,8,-1,91.0,133,2,6.0,Class 4,Standard To Slow,5940.0,Michael Bell,Hector Crouch,42,-1,34.33333333333333,9.0,0,0.7272727272727273,0.9186499714851379,0.993858277797699,"['🔥 Trainer 42%', '🟢 Class Drop', '⚡ Fresh', '⚖️ Light Weight', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class, strong recent form.",4.5,7:10,kempton (aw),museum piece,0.9186499714851379,4.5,0.0,2025-05-21,1.0,2025-05-21,GB,Unibet/British Stallion Studs EBF Fillies Restricted Novice Stakes (Bands B/C/D) (GBB Race),Flat,Class 4,,,2yo,F,6f,6f,1207.0,Standard To Slow,11.0,1.0,4,8.0,5.5,1,2.0,F,133.0,,1:12.92,72.92,8.5,Hector Crouch,Michael Bell,697.40,–,–,Showcasing (GB),My Lea (IRE),Dandy Man,D Fish Mrs F Mahony Partner,Bumped start - led - headed and weakened from over 1f out(op 8/1 tchd 17/2),-1.0,advised
7:20 Gowran Park,Lemsairbat,2,-1,95.0,142,4,9.5,,Good,10030.0,Joseph Patrick Obrien,Scott Mccullagh,51,-1,21.0,17.0,0,0.25,0.9670261740684509,0.993858277797699,"['🔥 Trainer 51%', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, strong recent form, good draw position.",2.5,7:20,gowran park,lemsairbat,0.9670261740684509,2.5,0.0,2025-05-21,1.0,2025-05-21,IRE,@gowranpark1 On Twitter Fillies Race,Flat,,,,3yo+,F,1m1½f,9.5f,1902.0,Good,8.0,1.0,3,2.0,2,.75,4.0,F,142.0,,2:1.78,121.78,3.0,Scott McCullagh,Joseph Patrick OBrien,€1530,92,–,Bated Breath (GB),Ghand (IRE),Galileo,Sights On Gold Partnership,Prominent throughout - went third over 1f out - keeping on when bit short of room final 110yds(op 15/8 tchd 11/4),-1.0,advised
7:30 Brighton,Poetic Force,6,-1,72.0,135,11,8.0,Class 6,Good To Firm,3454.0,Tony Carroll,Jack Doughty(3),27,-1,3.0,22.0,0,0.75,0.9930042624473572,0.993858277797699,"['🔥 Trainer 27%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",4.9,7:30,brighton,poetic force,0.9930042624473572,4.9,0.0,2025-05-21,1.0,2025-05-21,GB,Download The Star Sports App Handicap,Flat,Class 6,,0-55,4yo+,,1m,8f,1606.0,Good,8.0,1.0,3,6.0,1.5,1.5,11.0,G,132.0,,1:36.08,96.08,4.5,Jack Doughty,Tony Carroll,809.82,55,–,Lope De Vega (IRE),Obligada (IRE),Beat Hollow,A W Carroll,Held up in rear - headway inside final furlong - went third post - ran on(op 11/4 tchd 10/3),-1.0,advised
7:50 Gowran Park,Party Dress,7,-1,75.0,141,5,14.0,,Good,6785.0,W Mccreery,W J Lee,44,-1,16.0,53.0,0,0.6363636363636364,0.9757289290428162,0.993858277797699,"['🔥 Trainer 44%', '❗ Confidence 90%+']",✍️ yard in form.,6.8,7:50,gowran park,party dress,0.9757289290428162,6.8,0.0,2025-05-21,1.0,2025-05-21,IRE,Robert Grace Live After Racing June 2nd Handicap,Flat,,,,4yo+,,1m6f,14f,2784.0,Good,11.0,3.0,9,7.0,5.25,.5,5.0,M,141.0,,3:6.97,186.97,6.0,W J Lee,W McCreery,,71,–,Mastercraftsman (IRE),Magie Noire (IRE),Marju,Party Dress Partnership,Dwelt start - in rear - some headway final furlong - never dangerous(tchd 9/2),0.0,advised
8:00 Brighton,Versatile,6,-1,76.0,136,4,12.0,Class 5,Good To Firm,4187.0,Michael Attwater,Kaiya Fraser(3),42,-1,23.0,7.0,0,0.8571428571428571,0.9860610961914062,0.993858277797699,"['🔥 Trainer 42%', '🟢 Class Drop', '⚡ Fresh', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class, strong recent form.",6.8,8:00,brighton,versatile,0.9860610961914062,6.8,0.0,2025-05-21,1.0,2025-05-21,GB,Star Sports Handicap,Flat,Class 5,,0-68,4yo+,,1m4f,12f,2394.0,Good,7.0,1.0,5,6.0,13.75,9,4.0,G,133.0,,2:38.03,158.03,5.0,Kaiya Fraser,Michael Attwater,244.80,68,–,Siyouni (FR),Flora Danica (IRE),Galileo,Dare To Dream Racing,Towards rear - headway over 2f out - weakened inside final furlong(op 5/1 tchd 11/2),0.0,advised
8:20 Gowran Park,Red Secret,8,-1,66.0,142,9,16.5,,Good,5900.0,Kevin Michael Smith,Wesley Joyce(3),67,-1,-5.0,4.0,1,0.6666666666666666,0.9818663001060486,0.993858277797699,"['🔥 Trainer 67%', '❗ Confidence 90%+']",✍️ yard in form.,10.5,8:20,gowran park,red secret,0.9818663001060486,10.5,0.0,2025-05-21,1.0,2025-05-21,IRE,Gowran Handicap,Flat,,,0-60,4yo+,,2m½f,16.5f,3310.0,Good,11.0,2.0,4,8.0,3.5,.5,9.0,G,139.0,tb,3:43.90,223.90,17.0,Wesley Joyce,Kevin Michael Smith,€400,60,–,Lemon Drop Kid (USA),Parley (USA),Street Cry,Kevin John Smith,Midfield - kept on well from 1f out - not reach leaders(op 20/1 tchd 14/1),0.0,advised
8:30 Brighton,Under Curfew,9,-1,74.0,129,9,7.0,Class 6,Good To Firm,3454.0,Tony Carroll,Alexandra Mcdonnell(7),27,-1,10.666666666666664,17.0,0,0.9,0.9934957027435303,0.993858277797699,"['🔥 Trainer 27%', '🟢 Class Drop', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, down in class.",9.8,8:30,brighton,under curfew,0.9934957027435303,9.8,0.0,2025-05-21,1.0,2025-05-21,GB,Tips For Every Race At raceday-ready.com Handicap (Brighton Summer Sprint Series Qualifier),Flat,Class 6,,0-65,4yo+,,7f,7f,1399.0,Good,10.0,5.0,8,9.0,7.75,0.1,9.0,G,122.0,,1:23.41,83.41,21.0,Alexandra McDonnell,Tony Carroll,,58,–,Stimulation (IRE),Thicket GB,Wolfhound,Sf Racing Club,Awkward start - towards rear throughout(op 16/1),0.0,advised
8:40 Kempton (AW),Lawn Ranger,6,-1,70.0,131,10,12.0,Class 6,Standard To Slow,3140.0,Michael Attwater,Robert Havlin,42,-1,-2.0,251.0,0,0.42857142857142855,0.9811297059059143,0.993858277797699,"['🔥 Trainer 42%', '🟢 Class Drop', '🚫 Layoff', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, returning from a layoff, down in class.",34.0,8:40,kempton (aw),lawn ranger,0.9811297059059143,34.0,0.0,2025-05-21,1.0,2025-05-21,GB,Racing TV Handicap,Flat,Class 6,,0-60,4yo+,,1m4f,12f,2413.0,Standard To Slow,12.0,7.0,9,6.0,7.5,2.75,10.0,G,131.0,,2:35.50,155.50,34.0,Robert Havlin,Michael Attwater,,56,–,Cityscape (GB),Baylini GB,Bertolini,Canisbay Bloodstock,Prominent early - led after 1f - headed and weakened from over 1f out(op 28/1),0.0,advised
