race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
4:05 Ayr,Hosanna Power,7,-1,90.0,135,5,10.0,Class 4,Good To Firm,4711.0,Tim Easterby,David Allan,45,-1,6.0,10.0,0,0.7777777777777778,0.9663394093513489,0.993858277797699,"['🔥 Trainer 45%', '🟢 Class Drop', '⚡ Fresh', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class.",4.5,4:05,ayr,hosanna power,0.9663394093513489,4.5,0.0,2025-05-21,1.0,2025-05-21,GB,Follow @racingtv On X Handicap (GBBPlus Race),Flat,Class 4,,0-80,4yo+,,1m2f,10f,2012.0,Good To Firm,9.0,1.0,9,7.0,80.25,61,5.0,G,135.0,,2:24.21,144.21,4.5,David Allan,Tim Easterby,,78,–,Frankel (GB),Belle Josephine GB,Dubawi,King Power Racing Co Ltd,Took keen hold - in touch with leaders - looked to go wrong 2f out - soon eased (jockey said gelding lost his action and he felt it prudent to ease the gelding)(op 4/1 tchd 9/2),-1.0,advised
4:25 Chepstow,Bust A Moon,3,-1,77.0,139,3,5.0,Class 6,Good,3454.0,David Evans,Rossa Ryan,53,-1,21.0,8.0,0,0.3333333333333333,0.993858277797699,0.993858277797699,"['🔥 Trainer 53%', '🟢 Class Drop', '⚡ Fresh', '📈 In Form', '🧠 Monster NAP', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class, strong recent form, good draw position.",4.5,4:25,chepstow,bust a moon,0.993858277797699,4.5,0.0,2025-05-21,1.0,2025-05-21,GB,Best Odds Guaranteed On dragonbet.co.uk Handicap,Flat,Class 6,,0-60,3yo,,5f,5f,1020.0,Good,8.0,1.0,2,3.0,.5,.5,3.0,G,139.0,,0:59.84,59.84,2.62,Rossa Ryan,David Evans,1620.96,64,–,Rumble Inthejungle (IRE),Dangerous Moonlite (IRE),Acclamation,Janetevansnorman Courtstudsusanbunney,Taken down early - disputed lead early - prominent - went second over 1f out - kept on inside final furlong - just held(op 6/4 tchd 11/8 and tchd 7/4),-1.0,advised
4:42 Ayr,Little Empire,3,-1,82.0,135,5,7.0,Class 5,Good To Firm,3664.0,Anthony Mccann,Daniel Tudhope,20,-1,-4.0,75.0,0,0.21428571428571427,0.9603166580200195,0.993858277797699,"['🔥 Trainer 20%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ down in class, good draw position.",2.42,4:42,ayr,little empire,0.9603166580200195,2.42,0.0,2025-05-21,1.0,2025-05-21,GB,Racing TV Profits Returned To Racing Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1454.0,Good To Firm,13.0,1.0,1,3.0,0,0,5.0,G,135.0,,1:29.58,89.58,3.25,Daniel Tudhope,Anthony McCann,3663.80,70,–,Holy Roman Emperor (IRE),Tamika (IRE),Dragon Pulse,Alan Lowry,Took keen hold - in touch with leaders - edged left after 1f - headway to lead 2f out - ridden and kept on from over 1f out(op 3/1 tchd 10/3),1.42,advised
4:50 Warwick,Gwennie May Star,0,-1,,168,5,20.0,Class 4,Good,5413.0,Dan Skelton,Harry Skelton,67,-1,49.0,30.0,0,0.0,0.9411025643348694,0.993858277797699,"['🔥 Trainer 67%', '🟢 Class Drop', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form.",5.1,4:50,warwick,gwennie may star,0.9411025643348694,5.1,0.0,2025-05-21,1.0,2025-05-21,GB,Logicor Saumur Handicap Chase (GBB Race),Chase,Class 4,,0-110,5yo+,,2m4f,20f,4023.0,Good,4.0,1.0,3,,14,11,5.0,G,168.0,p,5:8.20,308.20,4.0,Harry Skelton,Dan Skelton,1245.38,108,–,Masterstroke (USA),Grande Symphonie (FR),Poliglote,Ms Gwendoline M Clarke,Prominent - led with one circuit to go - mistake and headed 9th - lost position 12th - rallied 3 out - weakened approaching last(op 5/2),0.0,advised
5:00 Chepstow,Ultramarine,7,-1,79.0,135,6,7.0,Class 5,Good,4187.0,David Evans,Jordan Williams(5),53,-1,0.0,13.0,0,0.875,0.9865108728408813,0.993858277797699,"['🔥 Trainer 53%', '🟢 Class Drop', '⚡ Fresh', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class.",24.0,5:00,chepstow,ultramarine,0.9865108728408813,24.0,0.0,2025-05-21,1.0,2025-05-21,GB,DragonBet : Supporting British Racing Handicap,Flat,Class 5,,0-70,4yo+,,7f,7f,1423.0,Good,8.0,1.0,1,7.0,0,0,6.0,G,130.0,,1:22.40,82.40,11.0,Jordan Williams,David Evans,4187.20,70,–,Zoffany (IRE),Onyali (IRE),Rip Van Winkle,Mrs E Evans,Prominent - led 3f out - ridden over 1f out - kept on(op 11/1),11.5,advised
5:10 Gowran Park,Nezeeh,6,-1,74.0,130,4,7.0,,Good,5900.0,Denis Gerard Hogan,J M Sheridan,31,-1,19.666666666666664,1.0,1,0.4,0.980761706829071,0.993858277797699,"['🔥 Trainer 31%', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ yard in form.,8.4,5:10,gowran park,nezeeh,0.980761706829071,8.4,0.0,2025-05-21,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
5:17 Ayr,Jewel Maker,7,-1,70.0,140,10,8.0,Class 6,Good To Firm,3664.0,Tim Easterby,Jake Dickson(7),45,-1,-2.0,22.0,0,0.875,0.9477927088737488,0.993858277797699,"['🔥 Trainer 45%', '🟢 Class Drop', '❗ Confidence 90%+']","✍️ yard in form, down in class.",24.0,5:17,ayr,jewel maker,0.9477927088737488,24.0,0.0,2025-05-21,1.0,2025-05-21,GB,Follow @racingtv On Instagram Apprentice Handicap,Flat,Class 6,,0-65,4yo+,,1m,8f,1609.0,Good To Firm,7.0,1.0,4,7.0,5,.75,10.0,G,133.0,,1:41.58,101.58,7.0,Jake Dickson,Tim Easterby,429.80,64,–,Invincible Spirit (IRE),Sapphire (IRE),Medicean,Reality Partnerships I,In touch with leaders on outer - dropped to rear over 3f out - rallied inside final furlong - not reach leaders(tchd 15/2),0.0,advised
5:25 Warwick,Getalead,0,-1,121.0,168,9,21.0,Class 4,Good,4753.0,Kevin Pickard,Lewis Saunders(7),33,-1,18.0,7.0,1,0.0,0.8754055500030518,0.993858277797699,"['🔥 Trainer 33%', '🟢 Class Drop', '⚡ Fresh']","✍️ yard in form, fresh off a short break, down in class.",3.25,5:25,warwick,getalead,0.8754055500030518,3.25,0.0,2025-05-21,1.0,2025-05-21,GB,Logicor Coronation Handicap Hurdle,Hurdle,Class 4,,0-115,4yo+,,2m5f,21f,4225.0,Good,7.0,2.0,2,,2.25,2.25,9.0,G,161.0,tb,5:10.45,310.45,3.75,Lewis Saunders,Kevin Pickard,2187,115,–,Getaway (GER),Site-Leader (IRE),Supreme Leader,Pickard Racing Club,Ran in snatches - in touch with leaders - went second 3rd - niggled along briefly before 7th - hung left before 2 out - bumped and carried right approaching last - kept on run-in - weakened towards finish(op 9/4),-1.0,advised
5:35 Chepstow,Savannah Smiles,1,-1,75.0,130,5,6.0,Class 6,Good,3454.0,Grace Harris,Rossa Ryan,44,-1,4.0,8.0,0,0.1111111111111111,0.9909030795097351,0.993858277797699,"['🔥 Trainer 44%', '🟢 Class Drop', '⚡ Fresh', '⚖️ Light Weight', '❗ Confidence 90%+']","✍️ yard in form, fresh off a short break, down in class, good draw position.",3.35,5:35,chepstow,savannah smiles,0.9909030795097351,3.35,0.0,2025-05-21,1.0,2025-05-21,GB,DragonBet Top Prices On Top Markets Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1222.0,Good,9.0,5.0,3,1.0,.5,0.3,5.0,M,130.0,p,1:11.78,71.78,4.5,Rossa Ryan,Grace Harris,809.82,55,–,Unfortunately (IRE),Silicon Star (FR),Starborough,Bellys Heroes,Prominent - led narrowly over 1f out - headed then lost second towards finish(op 10/3 tchd 9/2),-1.0,advised
5:40 Kempton (AW),Cosi Bello,2,-1,86.0,137,3,7.0,Class 5,Standard To Slow,4320.0,Charlie Fellowes,Kieran Shoemark,50,-1,100.0,33.0,0,0.15384615384615385,0.9760444164276123,0.993858277797699,"['🔥 Trainer 50%', '🟢 Class Drop', '📈 In Form', '❗ Confidence 90%+']","✍️ yard in form, down in class, strong recent form, good draw position.",1.73,5:40,kempton (aw),cosi bello,0.9760444164276123,1.73,0.0,2025-05-21,1.0,2025-05-21,GB,Unibet Support Safer Gambling Restricted Novice Stakes (Bands B/C/D) (GBB Race) (Div II),Flat,Class 5,,,3-4yo,,7f,7f,1408.0,Standard To Slow,13.0,1.0,1,2.0,0,0,3.0,G,137.0,,1:24.11,84.11,1.5,Kieran Shoemark,Charlie Fellowes,4320,–,–,Bated Breath (GB),Fauran (IRE),Shamardal,Bedford House Racing Iiii,Prominent - pushed along to lead 2f out - ridden over 1f out - ran on inside final furlong - won going away(op 4/7),0.73,advised
