race,name,draw_x,or_x,rpr_x,lbs_x,age_x,dist_f_x,class,going_x,prize_x,trainer_x,jockey_x,trainer_rtf,jockey_rtf,form_score,days_since_run,headgear_type,draw_bias_rank,confidence,last_class,global_max_confidence,tags,commentary,bf_sp,Race Time,Course,Horse,Confidence,Odds,odds_delta,Date,Stake,date,region,Race Name,Race Type,Class,pattern,Rating Band,age_band,sex_rest,dist,dist_f_y,dist_m,going_y,ran,Runners,Position,draw_y,ovr_btn,btn,age_y,sex,lbs_y,hg,time,secs,dec,jockey_y,trainer_y,prize_y,or_y,rpr_y,sire,dam,damsire,owner,comment,Profit,Mode
2:37 Listowel,Daring Grace,4.0,-1,,128,2,6.5,,Good To Yielding,10620.0,Joseph Patrick Obrien,Dylan Browne Mcmonagle,62,-1,-1.0,-1.0,0,0.4444444444444444,0.9792149066925049,,0.996802806854248,"['🔥 Trainer 62%', '⚖️ Light Weight', '❗ Confidence 90%+']",✍️ yard in form.,8.8,2:37,listowel,daring grace,0.9792149066925049,8.8,0.0,2025-06-01,1.0,,,,,,,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,0.0,advised
4:35 Fakenham,Hurricane Bay,0.0,-1,133.0,170,9,21.0,Class 3,Good,10562.0,Lucy Wadham,Tom Cannon,,-1,55.0,29.0,0,0.0,0.8101609945297241,,0.996802806854248,['📈 In Form'],✍️ strong recent form.,4.6,4:35,fakenham,hurricane bay,0.8101609945297241,4.6,0.0,2025-06-01,1.0,2025-06-01,GB,Payne Crop Nutrition Prince Of Wales Cup Handicap Chase (GBB Race),Chase,Class 3,,0-125,5yo+,,2m5f,21f,4265.0,Good,6.0,1.0,1,,0,0,9.0,G,170.0,tp,5:22.74,322.74,6.5,Tom Cannon,Lucy Wadham,10562,127,–,Malinas (GER),Another Storm GB,Shambo,The Hanseatic League,In touch with leaders - not fluent 11th - headway before 12th - not fluent 3 out - led just before 2 out - ridden before last - kept on(op 9/2 tchd 4/1),3.6,advised
5:00 Nottingham,Treasure,6.0,-1,98.0,144,4,8.5,Class 3,Good To Soft,10800.0,Ralph Beckett,Hector Crouch,54,-1,-5.0,204.0,0,1.0,0.8234850764274597,,0.996802806854248,"['🔥 Trainer 54%', '🚫 Layoff']","✍️ yard in form, returning from a layoff.",5.9,5:00,nottingham,treasure,0.8234850764274597,5.9,0.0,2025-06-01,1.0,2025-06-01,GB,Sky Bet Build A Bet Fillies Handicap,Flat,Class 3,,0-95,3yo+,F,1m½f,8.5f,1678.0,Good,6.0,1.0,2,6.0,2.25,2.25,4.0,F,144.0,p,1:42.71,102.71,6.0,Hector Crouch,Ralph Beckett,5070,97,–,Mastercraftsman (IRE),Shimmering Light GB,Dubawi,Hm The King Hm The Queen,Held up in rear - headway 2f out - pressed winner over 1f out - stayed on but not pace to challenge(op 4/1),0.0,advised
