date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,4,1,,0,0,Autumn Twist (IRE),4,G,153,p,4:27.50,267.50,3.75,Daniel King,Denis Gerard Hogan,€5900,113,–,Golden Horn (GB),Autumn Lily (USA),Street Cry,Premier Racing Club,In touch with leaders - led 3 out - pushed along 2 out - 5 lengths ahead when mistake last - comfortably(op 5/2 tchd 7/2)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,8,2,,2.25,2.25,Lodge Man (IRE),4,G,150,,4:27.95,267.95,29.00,Philip Donovan,P M J Doyle,€1900,–,–,Renaissance Man (IRE),Glens Valley (IRE),Milan,Dromcastle Syndicate,Midfield - headway after 2 out - switched right approaching last - went second just after last - ran on(op 33/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,6,3,,6.75,4.5,Breezethroughlife (IRE),4,G,153,t,4:28.85,268.85,101.00,Jordan Gainford,Cian Collins,€900,–,–,Ice Breeze (GB),Lady Germany (IRE),Germany,Mrs Patricia Prendergast,Midfield - slow jump 1st - reminders with one circuit to go - mistake 7th - headway 3 out - switched left 2 out - carried right approaching last - went third run-in - ran on(op 80/1 tchd 66/1 and tchd 150/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,9,4,,9.25,2.5,Synchronize (IRE),4,G,146,,4:29.35,269.35,201.00,Tom Harney,J Morrison,€400,–,–,Frankel (GB),Qaws GB,Dubawi,J Morrison,Disputed lead - lost position but prominent after 1st - slightly hampered and outpaced 2 out - ran on run-in - went fourth towards finish(op 80/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,12,5,,10.5,1.25,Young Churchill (IRE),4,G,153,t,4:29.60,269.60,2.50,Donagh Meyler,Noel Meade,€200,–,–,Churchill (IRE),Excelling Spirit (IRE),Invincible Spirit,London Racing 4 Partnership,Sweating - disputed lead - led clearly after 1st - jumped right 7th - headed 3 out - 5 lengths second when bad mistake last - soon lost position and weakened(op 7/4 tchd 11/8 and tchd 15/8)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,7,6,,10.75,0.3,Elusive Ogie (IRE),4,G,153,,4:29.65,269.65,41.00,Darragh OKeeffe,Eoin Christopher McCarthy,€100,–,–,Elusive Pimpernel (USA),Newtown Dancer (IRE),Danehill Dancer,Denis Enright,Prominent - weakened after 2 out(op 50/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,11,7,,11.75,1,Woodview Lad (IRE),4,G,153,,4:29.85,269.85,7.50,Sam Ewing,Gordon Elliott,,–,–,Mahler (GB),Woodview Dawn (IRE),Turtle Island,Thomas G Kelly,Prominent - mistake 5th - challenging 3 out - weakening when not fluent last(op 8/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,13,8,,19.75,8,Gerrys Wish (IRE),4,F,146,,4:31.45,271.45,13.00,Danny Gilligan,Gordon Elliott,,–,–,El Salvador (IRE),Another Katie (IRE),Carlotamix,Gers Apostles Syndicate,Towards rear - headway into midfield 8th - not fluent 3 out - soon weakened(op 16/1 and tchd 18/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,5,9,,20.25,.5,Brandyandportpaddy (IRE),4,G,148,,4:31.55,271.55,151.00,Jack G Gilligan,Paul John Gilligan,,–,–,Mizzou (IRE),Fanore Lady (IRE),Oscar,Where Dreams Are Made Syndicate,In rear - nudged along and some headway before last - never dangerous(op 66/1 tchd 50/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,3,10,,21.5,1.25,Tatateo (IRE),4,G,161,,4:31.80,271.80,29.00,Phillip Enright,Denis Gerard Hogan,,–,–,Teofilo (IRE),Tayara GB,Lawman,Final Reminder Syndicate,Took keen hold - midfield - weakened from 3 out(op 33/1 tchd 25/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,1,11,,22,.5,Day Trader (FR),4,G,161,,4:31.90,271.90,5.00,Keith Donoghue,A J Martin,,–,–,Expert Eye (GB),My Year Is A Day (FR),Kings Best,Ballyboys Partnership,Midfield - headway 8th - weakened before last(op 15/8)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,14,12,,56,34,Uno Me I Like My T (IRE),4,F,141,,4:38.70,278.70,151.00,Tiernan Power Roche,Cian Collins,,–,–,Maxios (GB),Dans La Foulee (FR),Alberto Giacometti,T B Sheridan,Mistake 3 out - mistake 2 out - always behind(op 100/1 tchd 80/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,2,13,,58.5,2.5,Niigata (GB),4,G,154,,4:39.20,279.20,101.00,Paddy Hanlon,John Joseph Hanlon,,–,–,Showcasing (GB),Deciding Vote GB,Pivotal,Meadows Racing Club,Always behind(tchd 80/1 and tchd 125/1)
2025-05-11,IRE,Killarney (IRE),1:20,Killarney Avenue Hotel Maiden Hurdle,Flat,,,,4yo,,2m1f,17f,3420,Good,14,10,F,,-,-,The Eggler (IRE),4,G,146,,-,-,81.00,Thomas OConnor,Mark Fahey,,–,–,Hillstar (GB),No Plain Jane (IRE),Kings Theatre,Nicola Mccarthy,Midfield - weakened 3 out - fell last(op 66/1 tchd 50/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,14,1,,0,0,Romany Brown (IRE),5,G,158,,4:21.50,261.50,3.50,Jack Doyle,P M J Doyle,€5900,–,–,Youmzain (IRE),Glenahiry (IRE),Golan,M Odwyer,Took keen hold - in touch with leaders - not fluent 1st - went second after 4 out - led before 3 out - joined 3 out - headed and ridden approaching last - rallied run-in - led again towards finish(op 15/8 tchd 11/4)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,15,2,,.5,.5,Wholelotofbusiness (IRE),6,G,153,t,4:21.60,261.60,19.00,G B Noonan,Eoin Christopher McCarthy,€1900,–,–,Arctic Cosmos (USA),Whats Ur Business (IRE),Oscar Schindler,Michael Kiely,Prominent - disputed lead going best 3 out - led clearly approaching last - ridden and ran on run-in - headed towards finish(op 50/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,9,3,,.75,0.3,Dream Diamond (IRE),5,G,158,,4:21.65,261.65,4.50,Sam Ewing,Michael G Kennedy,€900,–,–,Diamond Boy (FR),Curvacious (IRE),Anshan,Conor J Murphy,Held up in midfield - in touch with leaders after 4 out - not fluent 3 out - not fluent 2 out - jumped left last - soon switched right - ridden and ran on run-in(op 8/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,19,4,,27.75,27,Ifallgoeswell (IRE),5,G,158,,4:27.05,267.05,3.00,Philip Byrnes,C Byrnes,€400,–,–,Kingston Hill (GB),Dromdeals Princess (IRE),Alflora,Come Home Sober Syndicate,In touch with leaders - hit 3rd - no impression 2 out - soon weakened - not fluent last(tchd 11/4)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,7,5,,28,0.3,Back To Cali (IRE),5,G,151,,4:27.10,267.10,101.00,Adam Leahy,John Joseph Hanlon,€200,–,–,Califet (FR),Definite Deploy (IRE),Definite Article,David M Walsh,Midfield - some headway when not fluent 3 out - weakened before 2 out(op 66/1 tchd 125/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,5,6,,51,23,Westminster Moon (IRE),5,G,166,t,4:31.70,271.70,11.00,Daniel King,A J Martin,€100,–,–,Sea The Moon (GER),My Daydream (IRE),Oasis Dream,John Breslin,Towards rear - brief headway after 4 out - weakened 3 out(op 9/2)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,6,7,,52.25,1.25,Glory Sky (IRE),5,M,159,,4:31.95,271.95,201.00,Phillip Enright,Ray Hackett,,–,–,Cotai Glory (GB),Artax Hope (IRE),Kyllachy,Ray Hackett,Towards rear - hampered by faller 4 out - some headway home straight - never dangerous
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,16,8,,61.75,9.5,Western Princess (IRE),6,M,151,h,4:33.85,273.85,13.00,Brian Hayes,W P Mullins,,–,–,Westerner (GB),Princess Gaia (IRE),Kings Theatre,Pyoneers Syndicate,Took keen hold - towards rear - headway and went second before 5 out - tenderly handled and weakened from 4 out(op 28/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,3,9,,66.75,5,Grey Fable (IRE),5,G,166,ht,4:34.85,274.85,13.00,Donagh Meyler,Karl Thornton,,109,–,Starspangledbanner (AUS),Satwa Ruby (FR),Verglas,Derby Bar Syndicate,Prominent - led when not fluent 3rd - headed and weakened before 3 out(op 10/1 tchd 8/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,11,10,,85.75,19,Harrowhill (IRE),5,G,151,,4:38.65,278.65,101.00,Conor Clarke,Ray Hackett,,–,–,Affinisea (IRE),Lady Singspiel (IRE),Singspiel,Ballyvara Racing Syndicate,Midfield - weakened after 4 out(op 125/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,2,11,,135.75,50,Dragon Of Malta (IRE),8,G,166,t,4:48.65,288.65,126.00,Ben Harvey,P F ODonnell,,–,–,Dragon Pulse (IRE),Shraayef GB,Nayef,Gzira Syndicate,Always behind - weakened after 4 out - tailed off(op 66/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,4,F,,-,-,Status Green (IRE),5,G,163,,-,-,34.00,Cian Quirke,Joseph G Murphy,,–,–,Le Havre (IRE),Namibie GB,Dark Angel,West Awake Five Partnership,Midfield - mistake and fell 4 out(tchd 28/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,10,PU,,-,-,Eyeeye (GB),5,G,153,,-,-,21.00,Jack G Gilligan,Paul John Gilligan,,–,–,Expert Eye (GB),Cool Kitten (IRE),One Cool Cat,Natalie Gilligan,In rear - hampered by faller 4 out - soon weakened - pulled up before 2 out (jockey said gelding raced keen)(op 22/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,13,PU,,-,-,Red Or White (IRE),6,G,158,,-,-,201.00,Sean OKeeffe,John Patrick Ryan,,–,–,Arctic Cosmos (USA),Siobhans Belle (IRE),Definite Article,Thomas Meere,Led - headed and prominent when not fluent 3rd - lost ground quickly 5 out - dropped to rear when hampered by faller 4 out - pulled up before 3 out (jockey said gelding hung right)(tchd 150/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,8,SU,,-,-,Chasing Blues (IRE),5,G,158,h,-,-,15.00,Keith Donoghue,Gavin Cromwell,,–,–,Walk In The Park (IRE),Great Jane (FR),Great Palm,Basil Holian,Midfield - pushed along when slipped up on turn before 3 out (jockey said gelding stumbled and fell independently of any other horse)(op 11/1 tchd 9/1)
2025-05-11,IRE,Killarney (IRE),1:55,Mongey Communications Maiden Hurdle,Flat,,,,5yo+,,2m1f,17f,3420,Good,16,12,UR,,-,-,Moment Of Prayer (IRE),9,G,151,ht,-,-,151.00,Kevin A Murphy,Ian OConnor,,–,–,Barely A Moment (AUS),Latin Prayer (IRE),Soviet Star,Woodlands Racing Syndicate,In rear - mistake and unseated 1st(op 200/1)
2025-05-11,IRE,Killarney (IRE),2:30,MD OSheas Tourist Attraction Mares Hurdle (),Flat,,Listed,,4yo+,M,2m1f,17f,3420,Yielding,6,8,1,,0,0,Stormalong (IRE),7,M,154,tp,4:19.30,259.30,10.00,Darragh OKeeffe,David Kenneth Budds,€15340,121,–,September Storm (GER),Howaboutthis (IRE),Oscar,Barbara Kirby Coleman E Coleman,Prominent - pushed along before 3 out - ridden 2 out - went second before last where 2 lengths down - kept on to lead towards finish(op 15/2 tchd 13/2)
